"cHL01"	"cHL02"	"cHL09"	"cHL11"	"cHL12"	"cHL13"	"cHL21"	"cHL48"	"cHL57"	"cHL58"	"cHL63"	"cHL64"	"cHL65"	"cHL70"	"cHL71"	"HL001"	"HL003"	"HL007"	"HL010"	"HL013"	"HL014"	"HL015"	"HL022"	"HL080"	"HL145"	"HL146"	"HL150"	"HL393"	"HL400"	"cHL136"	"cHL138"	"cHL150"	"cHL153"	"cHL155"	"cHL157"	"cHL159"	"cHL160"	"cHL164"	"cHL167"	"cHL169"	"cHL03"	"cHL04"	"cHL07"	"cHL08"	"cHL100"	"cHL101"	"cHL102"	"cHL103"	"cHL104"	"cHL107"	"cHL108"	"cHL109"	"cHL110"	"cHL111"	"cHL113"	"cHL114"	"cHL116"	"cHL117"	"cHL118"	"cHL120"	"cHL121"	"cHL122"	"cHL123"	"cHL14"	"cHL16"	"cHL19"	"cHL22"	"cHL26"	"cHL32"	"cHL33"	"cHL36"	"cHL39"	"cHL42"	"cHL47"	"cHL49"	"cHL53"	"cHL54"	"cHL55"	"cHL56"	"cHL59"	"cHL60"	"cHL68"	"cHL69"	"cHL72"	"cHL73"	"cHL74"	"cHL77"	"cHL90"	"cHL93"	"HL002"	"HL005"	"HL006"	"HL021"	"HL031"	"HL347"	"HL353"	"HL356"	"HL357"	"HL359"	"HL360"	"HL363"	"HL364"	"HL367"	"HL368"	"HL370"	"HL376"	"HL378"	"HL382"	"HL383"	"HL387"	"HL419"	"cHL124"	"cHL139"
"SMARCC1"	0.996943239740631	1.03976217018651	1.1898858949009	1.11585297157289	1.00204370862652	0.524278205292507	0.400781850840056	1.09183870265378	0.651845237500485	-0.215424766855809	1.07370111214649	0.143064609062677	0.928643573983245	-0.0227642329152799	0.221421188110222	0.609019221196259	0.347629921086667	1.13131887115234	0.978476836111651	0.523807987663389	1.04302272677355	0.0655493638757165	0.926444038790561	0.804411579808541	1.11405911998878	0.405436344997155	0.343068481367138	-0.186067072107647	1.02888502341087	0.640268854235722	0.724683490581259	-0.204626837604233	1.02929942971865	1.13100931930458	1.01406279548576	0.966752899612569	0.325587442490291	1.04910791376134	0.640370050209794	0.281159337409196	-0.643617645023064	0.481824133396078	-0.373996226954796	0.979016593153764	-0.291638237676887	0.445903018221761	-0.816630367338501	-0.0653087573723271	0.0941728011844158	0.904609542108009	0.970515970555935	0.385605637320494	-1.96312939694107	1.1900790384554	0.0937132661820888	-1.52765936789149	1.03241047086428	-1.5470949454251	0.723884830748553	-1.36879800594328	0.947078786892026	-1.06916976223518	0.235982860215266	-0.0392976603153106	0.966960528635907	1.05678023972672	0.596306021899435	0.598826531108655	0.677386568427682	0.975492207305801	0.316081279291898	0.537435513415796	0.26594772532293	1.04007507122873	1.10287963252674	-0.391574142745533	1.04901482419647	0.751653022966357	0.316393438162878	0.931818149469634	1.12741482668304	0.325034821062638	0.508582564631929	-1.61375601877288	-0.0988608525704189	0.959210782904708	1.29445515446701	1.01987635030696	-1.47537963191173	-1.1040117272496	0.0623845283494892	0.542016201049374	-0.439180922324799	-0.426854988593711	-0.683309568122842	-0.373862723139201	0.596691368825536	-1.08532143371275	-1.92696922503218	1.18790615959985	0.368290003061736	1.2088180828309	1.09156310042269	0.23238599433963	1.10403073790596	0.153403397657354	0.284624698429985	1.02053771529515	-0.119979997818652	0.00560713637313791	1.06638985442823	1.1199947835877	0.993531589638005
"H1FX"	-0.70528969815577	-0.721563352536882	1.33794484713715	-0.471142996696686	-0.581913434646289	1.36566413467583	1.68242570008357	-0.862592117779596	1.56571426284161	1.44652614442867	0.328977971754812	-0.156826376953577	1.49286559479724	1.55644797365004	1.60540521141518	1.62362948966081	-0.00782710568941825	-0.505828414219478	1.46280351328743	-0.3004585607764	1.30546494129042	-0.400362953165274	0.252102379632915	1.63264916064519	1.50117303754126	0.266343507196885	1.51264028202821	1.46613420738407	0.158482388121654	1.54329813479133	-0.614476768919624	0.17024168224921	1.4322196386465	1.23082322608285	1.35876739860432	1.28835473104627	0.315271164123582	0.281101291298057	-0.752686484525342	1.31336929798326	-0.952807290182236	-0.456612723343146	-0.416316689727985	-1.21465004643954	-1.41379668410475	-1.2680416733669	-0.797745831598363	-1.00281607928736	1.34127414333758	-0.595989508785083	-0.681538499238806	-0.518720345371523	-0.805227006517918	-1.05404169292882	1.30877572803793	-0.463692662449177	0.0399037695258378	-0.954132405301603	-1.04590320170133	-0.562111548685916	-1.12073952943653	1.26698602511783	-0.949482809965955	-0.437073611860883	-0.894627663141304	1.49127500403622	-0.750182512884246	-1.07718511634656	-0.246489297596598	-0.0677280312448814	-0.668279978486035	1.32577930604887	-0.411093391802531	-1.0076561725077	1.47073831525064	-1.01053726740429	-0.254693689540501	1.62504706586678	-0.605453548063253	1.43902625720356	0.506122948071417	0.247762277941921	-0.0389983524715317	0.173197798368153	0.00414747925223439	-0.405364265775672	-0.253257044291046	-0.424263820505326	-0.810076318961488	-0.979591727140152	-0.877770572499346	0.0270733066075785	-0.460589618105149	-0.484921447400436	-0.644975151426775	-0.712587896135483	-1.02426473101017	-0.741624435453298	-0.488384190071875	-1.0197610171434	-0.780325423406673	-0.554788147086558	-0.914661081189093	-0.864564220982974	-0.872780385775853	-0.60509802389909	-0.819610024940335	-1.45013415948651	-0.968071142561845	-0.907224159702084	-0.428888042398623	-0.116078326243154	-0.709967952539604
"ITFG2"	0.505958421307836	-0.460505431064448	0.978685850190976	0.376154952703018	0.704653526143154	0.636270501933404	0.977354160501362	0.860956933195394	-0.077401415247366	0.542138670594765	0.816604078441808	1.01075633553161	0.726554274649315	1.07797828275145	0.712023384356563	0.198749425205329	-0.184188242891974	1.03423903462484	0.867484699989815	-0.273802894268853	0.595974740020356	0.695707237443682	0.864108022641639	0.467811833035457	0.698759359716801	-0.1378152469666	0.783004847918958	0.919999185923983	0.324767013167963	0.892631550997455	1.12851450268821	0.876516301069658	0.802713335358493	0.781652594749188	0.907292138808273	1.12219819828504	0.636809547337479	0.558491462234057	0.398131844352217	1.08229002618348	-1.327976938163	0.519163518356094	-0.131457661351338	0.630225086218315	0.305994556031272	1.01868189239745	-1.32619856612866	0.853289594887519	0.453568052864985	0.995371555801702	0.568201688620034	0.552659108591281	-0.318056362835222	0.895438636960145	1.32076621693067	0.793376013141979	1.08449064469777	0.807900179614434	0.53152958402203	1.07621815115535	1.13162444433957	0.994932886765087	0.81336756972091	-0.546463000998702	-0.382462111533169	0.721618185176267	0.586398757996595	0.846524180991566	1.04785438522447	0.860518777702665	-1.16108882043318	1.05003618681359	0.959031261227319	0.490758337957068	0.563911408548298	-1.28507259596638	0.450596974473301	0.998485613429348	-1.27841670077675	-1.16803578006778	0.571802380513357	0.893692541338722	-1.27700631867709	-0.162986847204462	0.311806633388736	0.624275986409335	-1.34697583604576	0.458103523073062	-1.26598397868922	-1.26132295324548	-1.30597921791412	0.664626871379309	0.076179806009209	0.841674363131255	0.273684002683934	0.938163776354361	0.577211409871601	-0.485916611450756	-0.614824501939716	0.897411940585247	1.02797232280268	0.697156494135339	-1.43186935091545	-0.127563258983664	-1.42394914024149	-0.0532386675485279	-0.286379358846807	0.656986325002014	1.07731226252846	0.848029046700409	0.814367124116354	0.835470564601753	-0.192645700629061
"ZNF335"	0.579921122994747	0.736559274018604	0.499265641679753	0.875025385664845	0.762614081539102	0.10446052366199	0.965820525316379	0.629007445394347	0.858309468965188	0.424438757431982	0.787316640663297	0.494942015217011	-0.0453020980088141	0.887753194388554	0.763441495145005	0.802762168243442	0.832079589894471	0.803586312413738	1.01679681332792	0.927060910209789	0.724364078621723	0.714408431090195	0.725369471744592	0.734593233799876	0.876385136603255	0.740706304031758	0.810322806821702	0.920373988812259	0.555926797429355	0.27589584373911	-0.291516438261555	0.75288038435731	0.698853083078147	0.713397050098094	0.97760693216149	0.251041032891042	0.67406647911617	-1.28749923582739	0.678001430116157	0.644658622773903	-0.747180367853772	-0.158962572314782	0.813693934134149	0.60192605184218	0.559613194858676	0.77905362267838	-1.09342845488186	-1.45349654448436	1.08008812661145	-1.06173073997007	0.714857559415833	0.00363371813895191	0.691956361390787	0.448180969114908	1.01971761491682	-1.39563068446592	0.750738503277609	0.718455684365554	0.847823615753288	0.5042472503977	-2.11310275338468	-0.0293358422131431	-1.13592304753575	-0.972987350743516	0.431662540352981	0.820741258821755	0.939611859523162	0.585707944210086	0.778950355939795	0.421506422250425	1.02833704112639	0.627007485207681	0.691985383585958	-0.529129103289347	0.566949717188013	-0.0751275804748395	0.87842386303979	0.963149850987396	-1.05799547533859	0.476310362214095	0.784470751069284	0.728378017308585	0.568405486032858	1.00058536292988	0.831740430838676	0.395752732468294	-1.16069204944581	-2.94018349160064	-1.56994148532625	-0.145495441044622	0.0724943302059478	0.778068266969981	0.918752244445558	-1.27939460545927	0.833009727020481	-1.22644766707644	0.8391808241732	-1.16251108644647	0.121095302776358	0.802926799981398	0.307603557000534	0.957730942446614	-0.0229103758160674	0.555641145756719	-1.07383884316234	0.0191213011531124	-1.18049342261359	0.517243680815652	0.666935044020807	0.06143602574227	0.931182972126237	0.986412117944936	0.853508490234749
"PPP1R16B"	1.03383832172687	0.995008111017593	0.520497429938713	-0.324817834114169	0.519403787356566	0.532888155609682	0.549372510406525	1.09451413476248	-0.518005962772792	-0.0444278253494191	1.06702462273871	0.999516688226975	0.607516471217998	1.07109762859263	0.641920497584376	1.14913571791693	0.558108024467562	1.05670929522197	0.237147817306545	0.286008382942116	0.453413882607496	0.179644978961234	0.494722641246448	0.40615403170791	0.996722755954428	1.03524179128131	0.0652530880776594	1.04703577117856	1.14040055478587	0.46076824949216	-0.21764200035443	1.0306576981363	1.09143964990482	1.18287596016199	0.982956942582715	0.452371559670369	0.68432374989511	1.01952473170407	0.789596054352634	-0.931721264844949	-1.30185546107539	-0.088658847973409	-0.116402979500951	1.10249105891926	0.515173139946764	1.06257697081331	0.135540929529642	0.463884865866365	0.265521749373835	0.966185757976934	-0.890285957756288	1.00704880835416	-0.167359314241377	1.11103805891214	0.104945707390565	0.0901488444309163	1.26072424761202	0.325592075040331	0.509614049870471	-0.57337881096773	0.462485027109137	0.765919845983553	-0.28483126791177	-0.0955994224444694	0.530598155221697	1.08761270681298	1.05940209571058	0.52121245086792	0.0811371696701856	0.567388361144857	0.122407491758023	0.682912721543365	0.196878885952334	1.12351296676037	0.222271349595623	0.035017334946053	1.0945256438931	0.116311221286047	-1.65595844818149	0.301211140877289	0.274124951634746	1.01994029433867	0.284199700902733	-1.09806941504998	-0.854283275215151	0.200548590154066	0.403699080692889	-1.53143786489326	0.322830473352159	-1.81498536458617	-0.784355603973363	-1.83506516596105	0.349374604694332	1.06637314799379	0.211977598476565	0.0158442028120226	1.02130581184576	0.0104726445776919	-1.09806006389662	1.05167168115443	-1.64258579605714	1.0716511127492	1.02059223043829	0.422342985001332	0.0146742519740127	-0.360040065481416	0.703834149097137	-0.778531626737558	-1.74953761060124	1.09344186442571	0.469456741595019	1.08608251872394	-1.46103625493877
"WNK2"	-0.163157570426781	-0.0346331747865073	0.0929980165970467	0.961864846218216	0.582445630177649	-0.175596557449825	1.02418312603694	-0.313480813296796	-0.0313294983158127	0.964139015718697	0.911658914172405	0.482261114560736	-0.29867077573054	1.08465675307273	0.976756167555875	1.01685001444619	0.975994369111351	1.00184784485553	0.952893339812014	0.232997303641185	0.723643491810601	0.946504186184464	0.435734212997844	0.658953957685973	1.1113014986859	1.00736863748392	0.101093161135173	0.554304336985888	0.918060176670959	0.94789355016488	0.990194513281875	1.03519746887199	0.982410058963366	0.540028212088162	0.835930022266345	1.14288735233452	0.55103722997198	1.05900314094706	0.0353269916686487	-0.84758697486494	0.90052756653702	0.120959432443601	-1.04857534809246	-0.39262319917433	0.986134068231609	0.32628977186287	-2.25420630017852	0.799535733296843	0.887529718484496	-0.134361311504207	0.545235562687505	0.236857822503695	-2.178627740895	0.89692242460688	0.988072919151955	-2.25420630017852	1.01889690636979	0.312689237840459	-0.0851591363551307	-2.25420630017852	-0.0865376669495837	0.144307573758999	0.909660220569611	0.879923600168093	-0.461616665390844	-0.264799308516306	1.05275228139307	0.71415508434757	0.0830642700593775	0.0624506605674805	1.03086759301618	-0.609490440770843	0.213681711494188	-0.567385926747755	0.612306389948685	-0.463979929580488	0.968442093956301	-0.613782941409704	-0.530174583383095	0.512520355254144	0.671366098477034	0.669478504585662	-0.327743682855956	-0.786872953895551	-1.09670369077715	-0.852879634608035	-0.359798418607813	-2.25420630017852	1.04128247009706	0.93292581660009	0.567547217692414	0.352340389923047	1.00423042674004	0.446272437702775	-0.705129712313268	-1.16485434748564	0.841527136323058	-0.698291529104901	0.609718456138779	-0.428311139205199	-0.270834759300379	0.255585808648758	0.728748406016765	-0.407857543212957	-0.551439468249282	0.110573747118486	-0.217371570818905	-1.32798660002724	-0.629269492433587	0.749732455203986	-0.207699701222776	0.278846927383848	0.262540440554072
"GOLGA8B"	1.64241563226399	1.48392561169925	-0.832148928566501	1.72482649231126	1.1196427261054	-1.01161028282585	1.15795975701969	-0.0233212986325762	0.346182872086869	1.59771267223948	1.71144906277777	-0.983277772240075	0.900645558630475	-0.674134840764914	1.03959128936935	0.924168437106977	1.1644474615753	0.608716278622644	0.889975487297052	-0.0499985765614151	0.56540689329801	0.22143999308176	-0.182096593810267	1.55195066299156	-0.190220132616591	0.694784376804515	0.79618500873546	0.96338625168176	1.47089429963917	1.17388748161067	0.498997554364488	1.18831482676059	0.305616186025722	1.42753734874997	0.716461122854411	-0.951555839466616	1.51251272537771	-1.18083603548153	1.17565234442819	-0.590870673921812	0.588280378508663	-0.572759322637411	-0.230866785871032	0.39070459572837	-0.936054458659618	1.71681437088979	-1.06433088022352	-1.42102355099133	-1.19711277054417	0.861268798728799	0.654007230331313	-0.984240716923263	-0.0727216451873984	-0.372898952084514	-1.0059455277624	-0.776325638254811	1.44615684381194	-1.28526498073871	-0.0624403421465593	-0.0285261333858062	-0.718673071460274	-0.990930821502497	-0.92268071778018	1.26268479098052	1.26153583603382	0.953074788183073	-0.851451784306848	0.190692377466413	0.585556251791383	1.27769331016911	1.65144768856519	0.937786167259119	1.68816023816434	0.630532484699686	1.39360982387008	-0.986632067415949	-0.293742776130964	-0.286920145312683	0.495307223110281	0.895037530514241	1.82412780652329	0.428013559528585	0.62027370596253	-0.810893000481199	0.98317061346255	0.576101505783567	-1.25865723170318	-0.861184395095294	1.47275596767149	0.480745567745636	-1.27689253122237	0.890745622038534	1.92374491760652	1.64040461751129	-0.646815274213427	1.21587512183836	-0.676480373933797	-0.905234977475789	0.935951048172898	0.717441008758896	-1.16226485166941	0.825184101681263	-0.404135913930411	-0.720267351258006	-0.729558177358935	-0.989365878271666	-1.0184785108516	1.43987320022096	1.33696676676687	-0.518671122845198	0.914246406221173	0.655468954789486	1.02470615485755
"LEKR1"	1.00980745298697	0.744356023079026	0.835704568537722	0.974303519809677	0.368844281182692	0.989598892060409	1.14600850105809	0.995795408894424	0.739345050464578	0.255283110377468	0.101103666793901	-0.177666882368682	0.183221862822227	0.961440887657352	-0.464820859469249	0.399571049295478	0.997562043769015	1.12811962123867	0.549704642106051	0.620113917910725	1.04500985974337	0.847510496290738	1.00718437195558	-0.524812972569389	0.313748463377731	0.374317921873175	1.05911645668652	0.26452231917456	-0.0274242570275202	0.0878358486571953	-0.481920313153855	1.14438232250885	1.09917285601943	0.972859717183774	-0.0595634236218619	1.0290972703598	0.471496333634421	0.470601356891712	1.09415235222782	0.980296196149477	0.301565389636675	0.17303023937187	-0.71438768762689	0.590062371600846	-1.52391071083621	-1.52391071083621	-1.52391071083621	-1.52391071083621	-0.998450200072438	-1.52391071083621	1.08047689195299	-1.52391071083621	1.08366368637315	0.122644658870006	-1.52391071083621	1.05735890579766	-0.317330793247377	0.985070461423573	-1.52391071083621	0.735100060663977	-1.52391071083621	-1.52391071083621	1.07561177218552	0.581066334773751	0.934379214258003	1.01638847758388	0.585907569407514	0.686365263915221	-1.52391071083621	1.10168334976271	-0.615707841917857	1.10313429016668	1.03525921680462	0.979685818766412	0.797200517805315	0.48690827179193	-0.397150932305152	1.04513102647217	0.383363281579243	0.584974194379693	1.03398836931588	0.252801829508547	1.00611392587143	-0.733118677942349	-0.930669587802523	-0.176858303259455	-1.52391071083621	-1.52391071083621	-1.52391071083621	0.990577008886427	0.682962743862466	0.376574735328805	-0.175216118784172	0.992996233722113	1.05470968438259	-1.2129757453283	1.0605029337994	1.00418348637373	-0.243085463064365	0.238837227167486	-1.52391071083621	1.03183189232239	-0.0132870259206469	0.670062819159932	-1.52391071083621	0.278639084741828	0.0550345287278725	1.05841951144282	-1.52391071083621	-1.52391071083621	0.990223130463038	1.01037593837809	-0.298778272216733
"ITPKB"	0.494543608215879	0.560546803210343	0.486260611314827	1.06892105845568	0.8619906230513	-0.677105789850401	1.14627279082521	0.0184310976074681	0.0687927196798482	1.25251773008735	1.03650786403696	0.733286650987874	1.43443855985351	1.03536830897331	0.638673059450528	1.26340964117154	-0.703480646416002	1.2806193906534	-0.445982463343336	-0.831739959199786	-0.388985894983737	0.256314623723667	0.985599261481879	0.92957151332938	0.810420082592022	0.555505347660676	0.103803222149703	0.897192601390383	1.14298077487283	-0.727726286589589	1.31467885965406	1.33092102619244	1.23611535669833	1.32954833461718	1.12813262256983	-0.507323155524058	0.149228576674508	0.869844745395401	-0.435576799796369	1.19354653090273	0.349723282350455	-0.573984407867725	0.502365845694848	0.230554585486365	-1.33817985011036	0.170870126680261	-0.262551521728323	0.571285165979094	1.18886074875696	0.645093532631768	1.22778364781374	1.11922507097243	0.507796211468996	1.3783597083674	0.406380175855946	-0.35874423925294	1.8158143703882	0.815975837397578	0.420935496159395	1.48910972766929	-1.06080613220736	1.1973419415751	0.947945860101038	-0.0284740804317652	0.206183717165425	1.00328079779633	1.23738039878901	0.651767299239869	0.989271586405934	-0.657048763212061	0.563832341869604	1.04402382654312	0.244591707014201	-0.81821314153692	1.05294983448245	-0.810524307904948	0.988290573748878	-0.570311658053909	-1.335438360532	0.317014161389207	0.0977375520133689	0.322931157331911	0.948115832167595	-0.673722159473787	-0.393701011447668	-0.741349845838867	-1.26980735587421	-0.42545197857726	0.963541972224202	-1.47715564380424	-0.703262126155128	-1.35223107332587	0.241534114038844	0.459863751155884	-1.3704350652092	0.033396956453642	0.0171448230835348	-0.724527783078451	-0.81816279878166	0.452547268585806	-1.62021920417713	0.289345145772801	-0.385370124049707	-0.813665976885763	-0.678632975993457	-1.35280167983623	-1.5137841807748	-0.895719320814643	-0.921044168305771	1.08859563180926	1.00843616259498	1.05299129793408	-0.550660915218616
"SETD2"	0.916871288917616	0.525819546189233	1.00845310310282	1.15176128979904	0.422548269200097	0.711774669315634	0.0111455464797701	0.729947384088399	1.31473540314576	-0.480189554042564	-0.328621046913974	-0.322303465208549	0.143397559112155	0.632803512029018	1.13703714797894	1.09608929434924	-0.102306300253887	0.509326926823485	0.433958130537051	-0.542901781437479	1.01590184225302	0.0621142833740223	0.842079535682898	0.890609496846481	0.644131750869306	0.719974220298234	1.25388342004316	0.874711874869086	1.24383386418948	0.62290922414933	0.686872043784718	-0.00318038506857109	-0.303363300271449	1.26883345035287	1.44435438354585	1.52533142086076	0.786767770474524	1.07722666275185	0.743179401201769	-1.53184368031539	-0.357334661221636	0.793201102626886	1.23811423778143	-0.0168862198115512	-0.142106793500937	-0.180816362013636	-0.000296079932749007	1.03689077075774	-0.193694331444766	-0.11397444302881	-0.195656102241608	-0.11425148730805	-0.262325013694732	-0.401197086401762	-0.175953901808877	-0.357617123097754	-0.0381709029891493	0.1027080076212	-0.395806968186508	0.973213946929942	-0.373571374808314	-0.0226091206688426	-0.201919290879611	-0.0522944267466042	0.657230003933233	-0.147871345494545	-0.0683913872525104	-0.170149665610508	0.958938334722581	0.666093981030927	1.18499711791702	1.19325827510898	0.771335399763895	-0.12039917085945	0.889637145275522	-1.03632255485077	1.31319095937497	1.16513202757614	0.444213373625986	1.50887354014947	1.1328923708501	1.00353273563134	-0.703180736273026	0.886604204583122	-1.56692351273715	0.870279063136712	0.944265479766457	0.120719882649964	0.247586267625367	0.806217201919736	1.04774078767829	1.12017713276285	1.56712719514684	-0.387938996811918	1.45541736470192	-0.854464596240357	1.38019362591443	0.445096198288005	0.968284796509228	0.634869482041154	1.31455626590514	0.468835935821489	0.110646392827995	0.561291999957551	1.36997526828501	0.979261946506874	0.931432999344809	0.750928784957768	0.262404545229674	1.3210350319708	0.133275335641111	-0.0994735653079716	1.10993598955261
