"cHL01"	"cHL03"	"cHL07"	"cHL08"	"cHL100"	"cHL101"	"cHL102"	"cHL107"	"cHL109"	"cHL114"	"cHL118"	"cHL12"	"cHL121"	"cHL13"	"cHL14"	"cHL16"	"cHL26"	"cHL43"	"cHL47"	"cHL48"	"cHL55"	"cHL56"	"cHL59"	"cHL60"	"cHL61"	"cHL68"	"cHL74"	"HL005"	"HL006"	"HL014"	"HL015"	"HL021"	"HL022"	"HL080"	"HL356"	"HL357"	"HL367"	"HL368"	"HL370"	"HL376"	"HL378"	"HL382"	"cHL138"	"cHL139"	"cHL167"	"cHL04"	"cHL09"	"cHL103"	"cHL104"	"cHL108"	"cHL11"	"cHL110"	"cHL111"	"cHL113"	"cHL116"	"cHL117"	"cHL120"	"cHL122"	"cHL19"	"cHL21"	"cHL22"	"cHL32"	"cHL33"	"cHL36"	"cHL39"	"cHL42"	"cHL49"	"cHL54"	"cHL57"	"cHL58"	"cHL63"	"cHL64"	"cHL70"	"cHL71"	"cHL82"	"HL001"	"HL007"	"HL010"	"HL031"	"HL347"	"HL360"	"HL364"	"HL383"	"HL387"	"HL391"	"HL393"	"HL400"	"HL419"	"cHL124"	"cHL136"	"cHL148"	"cHL150"	"cHL153"
"MRPS10"	0.46474485540141	0.71388306041947	-0.280315380804868	0.510245127518312	0.597857579330218	0.36598508711595	0.527089895583395	1.12211697971011	-0.0700283532577138	0.980895731485166	1.17304994395918	0.932412131582906	1.12785871855722	-0.354357435816747	0.584813552066508	1.06792702006158	1.02893644626159	0.321895252227121	1.1211164258068	-0.111538341867874	1.04979354663914	1.07489186062339	0.623757009359098	0.886429778346472	0.574059170928681	1.04602610641177	0.999268970982395	0.548106796397257	0.978098702901086	0.0646458905647955	0.00492873347083224	1.07497846859419	1.00984419400707	1.06237956277941	1.11929982482355	1.1355201704028	1.05836432534487	0.906169709826368	1.03920617714816	1.0968391691269	0.948603118221125	0.269584087803272	1.05210902256743	0.260286496371142	1.10814067081758	1.05553442620591	0.620380088620471	-0.965858187212344	0.278708178347224	-0.849640795294445	-0.49809283156933	-1.39793335396518	1.03836061674388	-1.34916410197239	-1.0580589666499	0.395559675091066	-0.943533555788157	0.583466146497592	0.997299889341329	-0.258996084754501	-0.0127282334904351	1.10269464744761	-0.895900992782099	0.595335098172442	0.471095288153487	0.671699108848435	0.202443127350961	0.433162074678291	0.246357041189941	-0.782697948611663	-0.932640023024988	0.142281038997099	-0.955842002306936	0.542484961976605	1.00021493154374	0.166358741415949	-0.931901792205998	0.923353197089039	0.675731671587351	0.667280650230659	1.13465219348495	0.884892578031454	-1.27945758358143	-0.96404129459136	0.0128327402684358	0.369722097335504	0.139110487349714	0.0451063380354764	1.07459832618429	0.712050407224389	1.15548134401392	-1.27938114260602	-0.972272588880651
"MRPL50"	0.401201200381301	0.681444919156745	1.12515731350069	1.06456306332068	1.11524348764239	0.550492716310872	0.857527603924902	0.581783454107177	0.691356840959023	0.698517619240096	-0.372658766491687	0.602535424402515	-0.44259099211606	0.474455720880135	1.02940470292578	0.664562665163249	0.326025978232014	0.699421124711008	1.17459684318068	1.03437590409625	-1.16897070201136	0.96640803770869	0.745137265517244	0.108928229668859	0.962141956723037	0.823766554971316	0.840282785285537	1.22893244739735	1.04469599705091	1.16503041493349	0.85840611555801	0.967202940671187	0.853100666440247	1.05466165993795	1.17891322240828	0.862878057576908	1.18421379660889	0.563962380991048	0.56593826841039	0.994121885252845	1.03071323529819	0.835401464079721	0.721250192868415	-0.193686472472758	1.31255845621437	0.774146891586452	-1.18352113830856	-1.45252161336927	-1.36543621465924	0.508959022492856	-1.0100060988326	-0.0932224616552959	0.821967223269467	1.00507783725116	0.087740289607716	0.967644288465614	0.178929731455273	0.284807378512414	0.60322537936077	0.65366625990366	0.812955217076059	-0.0729248930683805	0.414862552198215	-1.28970716099741	1.21475388535582	0.822871313452683	1.11925953058664	-0.976586166182057	-1.23910754504959	-0.316866746088678	-0.856151386261176	-1.3314115730664	0.296183461974244	0.769786850378395	-0.353785430429746	-0.349718762040096	-0.812577917938214	1.10639736184938	0.504031330470947	0.335070782890792	-0.346826555846769	0.373610313577019	0.542142637923727	0.844364136559223	1.1272324290098	0.807993948940039	1.27241628883212	0.791240090056893	-1.22718733695685	0.55213069475374	-0.32227643586946	1.2813505607393	0.676022537905183
"VEZF1"	1.09543531795543	0.607819698582361	1.09178122501811	0.79413932899544	-0.212289273485401	0.289683836059508	0.308028581896349	-0.142727291796115	1.04864837464167	1.00203557721137	1.05146550074569	1.05827098106613	0.87640963493687	-0.993089505043288	1.05226547146232	0.86871051081077	0.946171651582095	0.701182314588077	0.918576764965906	0.50748507502748	0.561129920698173	0.885796139223554	1.09840366060923	0.971236459800991	0.943177624253711	0.316352222898825	0.938269065791022	1.07019300366552	0.722126359351298	0.770176288547454	0.795979931991297	1.15032704956367	0.677407724621109	0.605587371809204	-0.203445413605283	0.888258279817776	0.902101707311311	-0.312835918999967	1.02755831738504	0.55217748192449	0.731225569609583	1.07311010779509	0.852245557504868	0.897126230401459	1.02724009463946	1.06757712396241	0.490051769371472	-0.637251016555152	0.134082416193967	0.652972387850715	-0.587725274049462	0.494871005994413	0.994051880468038	0.978223556625893	1.04614911781275	-0.144486051295176	1.13737609087517	0.32316213582411	0.61963377598139	-0.4554032234191	0.858969604047327	0.62614677740139	0.412243334598141	-1.18817673085437	-0.233895711388244	1.06180364353385	1.05685491024321	0.696593582186238	-0.977218413162457	-0.977886209128154	0.240080343400382	0.930012257824635	-0.890416301874566	0.408097479552961	0.69955975496498	0.296215412371292	-0.377949784291972	0.680944729916357	0.662237239598186	0.276827606875186	1.04722628125924	0.569029046234223	1.0122621970565	0.0694575047281587	-1.62472073610487	0.401179643243719	0.97371651846061	1.00132461633538	-1.29062795659272	0.657114276684346	-0.582665102732029	-1.19591438576549	-1.14956289643992
"ARL6IP5"	0.822551638425314	0.703259471375563	0.136006668921558	0.948515520816094	0.823622543902476	0.645823905352759	0.815376326166896	0.637047473270456	0.858160190554847	0.920540761994594	0.185402176888758	0.904951521907541	1.06362635178673	0.98345940346629	0.904671608752375	0.836637503081056	0.587981966967068	0.68705339137303	0.907526951315469	0.056325866424544	0.904921528386073	0.798930286481243	0.831221378005287	0.350207258685996	0.928046074641015	0.783565389578607	0.545570806359983	0.866807503453682	0.724757585402376	0.50552439374099	0.660255472577425	0.83973878594069	0.505996791082395	0.770532194686213	0.429180575446005	1.01108076867257	0.782376151341014	0.771644750448421	0.613518201557682	0.9691398690987	0.872254853956385	0.802240480778667	0.413714052657197	0.815354929501209	-0.578894468002706	0.130691618557509	0.418460039206979	-0.0328997855045109	0.922984202486528	-1.97245888040174	-0.926664092037885	0.104571799936375	0.988336790017851	-1.22275644076021	0.842567107689261	-0.792098993155065	0.899013392845671	0.239309423048695	0.531545003851161	0.952454569708774	0.608072010958245	0.883786157203335	0.695050107540898	0.211243225525088	0.694271862204895	0.335951413129271	0.468549764420422	-1.83421162056481	0.0535644393168136	-1.26948459154437	-0.91275240247722	0.931538461477679	-0.86561004718301	-0.998208273829324	0.957591589744815	0.259888710461401	-1.84047548783281	-1.01916840510467	0.94826305683946	0.756950674820969	0.510772926485876	0.415222986833702	-1.01429354610969	0.66471129346717	-1.0109563688987	0.586166525337061	-0.8811064309539	-0.0139558527625875	0.778762764649285	0.0779306100636139	-1.73544808010023	-2.3143546744891	0.195860533876178
"VPS29"	-0.0468023912727007	0.943263350488745	0.301012543721085	0.35675480590606	0.813945813284517	0.713319827101429	0.486219581951722	0.681346331123777	0.672152146503669	1.06600316720638	0.771154235026208	0.908703298376244	0.95877624149383	-0.0781474100804024	0.605314148904831	0.992653279253696	0.725167029660814	0.977750573463436	0.886390057283079	-0.168261711827554	0.976841405806993	0.479226056214694	0.938517295251803	0.953998018456517	0.966529949968449	0.954479097334015	0.828059254863671	0.788355254951266	0.803319917941286	0.0651679792249395	0.481974810319991	0.914634063906804	0.261715947435235	0.803834525565535	0.728280058427151	0.836993062978605	0.433589379316604	0.919185291657712	0.972981568144743	1.00858644911756	0.815068717541895	1.02518666042421	0.796980202337721	0.278432868247728	0.356566929671012	0.554440204663415	-0.665874572322267	-0.116979054731196	0.690298443334949	0.220856184164316	-0.915525721128879	0.77490379523406	0.751499885656499	0.842187180491604	-1.70962705303727	0.647301683285194	0.0398054667376577	0.9813582491629	0.684915721037852	0.783017732098747	0.925165286523788	0.736892954546393	0.806403496671225	0.0165281619973519	0.286464636515128	0.83379052206475	0.732838828837184	-0.216400503788089	-0.0294387701405323	-0.855047470660766	-0.283921776991037	0.737917947966315	0.0886609037079577	0.448569328313886	0.897251590934789	-0.767364570567648	-1.34192930676345	-0.73431055030653	0.0778321810186563	0.883438889579193	0.626969545416011	0.837250169188513	0.548888161116324	0.863191201377875	-1.41094797052559	0.536032102855466	0.639640088389739	0.598187928623942	0.662673356587863	-0.0155622945922199	0.543308230880188	0.171669718763921	0.834098857540952
"RPRD2"	1.13652663849897	-0.156670771116652	0.638351765341411	1.33837373656271	-0.00691978520299405	0.574614426191949	-1.07066871951288	1.40756202003089	0.630029912350425	-0.0569373096803566	1.07810989455782	0.624327983576198	1.07706617921798	-0.147028088011958	0.00716845901403623	0.711305355503726	1.13411160745592	-0.151030040475023	1.11788979599034	0.298691495829575	1.27211301419396	0.112692752119796	1.34375703091697	0.511416488734977	-0.0518831756543398	0.190896908324021	1.42557752333179	1.19997002309348	0.235192290069954	1.18961818029152	-0.163331611003776	1.36112885893077	1.36349131821356	1.33340449787204	0.42590685458959	1.4492968117579	1.12251802260053	0.102345863990238	1.35338524287756	0.284520554918083	-0.153170576076721	1.32155318566503	1.32229311651783	0.46503762775121	1.24268278487742	-0.338697043825563	0.0466278789378969	1.05445870186029	0.0673004187353987	0.0707859213985569	-0.981308116391576	-0.0291322448709639	1.25657336417706	0.431643296604357	1.22318144633847	1.21920266302327	0.220506323887163	-0.0965665314598485	1.44077424115714	1.13935366638615	0.545301002466238	1.46266047724774	0.296775657498081	-0.755134404870468	0.30416104650636	1.24360440596999	-0.657239659767052	-0.336041269357601	-0.155541291028847	-0.989352344629952	0.262353757679719	-0.235802299127169	-0.114022384006859	-0.11454053481567	1.29343575849502	1.12981782392738	0.307235691687557	1.1308401030965	0.527466264539606	-0.293756353534508	-0.0491709244902696	-0.10793177981208	-0.824006595886167	0.808975399907856	-1.10463519213139	1.2783553235758	1.21307378063203	1.53249933503063	-0.900381291466035	1.119185589098	-0.490877849511244	0.141275535062014	-1.12347526032764
"CCDC152"	1.10315856187967	1.06103522166954	1.130827113882	1.20244978299099	0.80838234561002	1.11595396863295	-0.610795764794939	-0.0758854839229538	1.17315070785681	1.18914199813611	0.182020133636999	1.12381381159	0.0644753633169455	0.484112019680345	-0.890625794339428	0.261527302309174	1.20194096532619	0.537456516364272	1.09172305280999	1.09680414626582	1.17599274143361	-0.795234534336433	0.252408148061032	1.17521381292841	0.165911625147255	0.124198413283106	1.19158163001389	0.394432973482798	1.06785100966202	0.233127200646552	0.290179382713394	1.164415775671	1.12224367355561	0.458239880245126	1.09112789838063	1.04269554196787	1.05677072083093	0.349030739218621	1.18622198367345	0.742438175402159	1.1642232906532	1.04967679996602	0.453034359650452	1.19181712706905	-0.43859463334779	0.311716155971904	-0.340072235333705	-0.563898326563227	0.0807781591964071	0.455665710438084	-0.862142282864099	-1.4094087862319	0.540943203138552	1.14957420706393	1.07578189168483	-1.21404681505659	1.09016841399564	0.426337473918075	0.431752835704608	-0.412682672991806	1.11267824966004	1.17107324040241	1.13543645787815	0.0479063899201756	-0.123425333866883	0.467032404103671	-0.948629187218284	-0.606689467260975	-0.888245539150582	-0.984030170574003	0.588024688068604	0.518401180209268	0.565528158751106	-0.561932695598673	1.19318425776159	0.0720679246546336	0.163771092095999	0.425293450589015	0.515093541621188	0.199617337457161	0.730932243965994	1.06998861210167	0.371002476710456	1.16595186610344	-1.31027669608814	0.614009363650003	0.225669188984634	-0.0224209580343887	1.12537878713783	0.674684341210672	-0.272570258969847	-0.187239687241625	0.34477639492384
"LBR"	0.960507225522428	0.840385275128937	0.573822045055663	0.735092763422365	0.691433236844237	0.86680645316344	0.728159479604445	0.670357945007664	0.61424342651993	0.725046794377905	1.12531648354224	0.578198677304993	0.219068914188127	0.22304318107233	0.581196299933375	0.638963306702696	-0.139903983927028	0.907126711122451	0.210303328167948	1.06048690555987	0.203612627715249	0.619729740424499	0.478169124772749	0.616819166259896	0.406855336910505	1.06255656070104	0.722649941924415	1.17632515935463	0.367431673378493	0.937222898079084	0.747066406993707	0.242023442522093	0.393241118340877	0.885752218768774	0.293995792142716	0.892751757100894	1.1702379166844	0.830818616457841	0.463733267367934	0.509536531632192	0.94480880687041	0.956444486947372	0.964551906300505	0.959958498019358	0.452615695824724	0.372428398790491	1.01934133601999	0.593577920388122	0.593354937768781	-0.00732798937928484	-1.98348486343621	0.510940910873338	0.76817781608808	0.620976115358152	1.20533247078562	0.852323870050057	-1.65100572065248	-1.10003227853474	0.60958870985167	-1.06804766941265	-0.119461959265483	0.514938524652157	1.16944954488523	0.402511187209616	0.119980716174499	0.156753428114361	1.07968438933594	1.10076099675151	0.527961071040143	0.983966230717409	0.587395195672569	1.20129640081635	0.31061194542487	-1.37626277095438	-0.0549231336201938	1.23486261329875	-1.09514319645645	0.271802717982081	0.519917076789115	-1.09442472976593	0.244924124693703	0.417471618023956	-2.01143013885022	0.568021881050931	0.344930149773011	-0.141155959032682	0.664315060140029	0.559929866272464	0.344019872602089	-1.16394175076277	0.0405896473266782	0.298634149509016	0.91676760293915
"EIF4E"	0.955384048687522	1.11099908085212	0.271312243065401	0.986452155869624	0.568973895250764	0.618224425237206	1.10034466902953	0.856570772387836	1.1981937592967	1.01796111186452	1.06617651876364	1.09021981195589	-0.38888507167366	-1.00613917737832	0.584426454671115	0.904276195854067	0.92005476143839	0.479232161284231	1.17483996427502	0.392304875436853	0.772885009911331	0.411663691051778	0.510983126527562	0.438997745098461	0.494567704486157	1.13943989315664	0.887286981846975	0.602716524361795	0.543434299397929	1.16425151325562	0.667524716851264	1.17214632600167	0.562302034981509	0.337206345610962	0.467448196647252	0.474832493083486	0.399417618970805	-0.946710223149897	1.05785154881122	1.08962201795791	1.01733152354388	0.651488455788471	0.686190191394413	0.8979901988176	0.653177477611129	-0.0366541017352594	0.532464386862655	0.931139470441213	0.899890926028747	0.0370118164187114	-1.03272131438981	0.585369727154535	1.08434370494496	-1.16594637943272	0.537914720001867	0.538760534626343	-1.25589734155457	0.489738061581374	0.569277024171214	-1.04048952252593	0.393265561096589	-0.582132569187876	0.583871590710959	0.113153044431182	-1.33292268340234	1.10884626210152	-1.04299601903386	-1.15756056874402	0.514489346582446	0.126297540439317	0.00696705422355926	1.14233406526796	0.231098292272623	-1.04940005384438	-2.51493512677193	-0.979615595470955	-1.32174004732908	0.349989609473132	0.480462192365601	-0.895126839381469	1.16319849074304	0.588615240640856	-1.29799795988533	1.12765991276586	-1.15898147086345	-0.0309343494364204	0.57574982118522	0.0535124815726427	-0.885213652085221	0.608510837012134	0.176431023982935	-0.917638473406199	0.951789513892086
"RNF219"	0.766182421886971	0.752093011677184	0.462068408603953	0.707285158920366	1.08980835703289	1.11084541193743	0.898157750071637	0.976298902369898	0.900292194362079	0.919477049405952	0.231828480661231	0.519219199468446	1.06277379694625	0.43620863926552	0.770487395340809	0.89399270859585	0.787641698039183	0.745538440533527	0.743744773517586	0.793545580149857	0.677944671059124	1.14729730719598	0.526483099039011	0.559820839753509	1.08307638262733	0.737319066419046	0.615769794754914	0.471505535168301	0.558468196011773	0.943598708359274	0.135086649926129	0.339249375175234	0.56101092435341	0.989776132305395	0.81936581402112	0.823179120427912	0.957319027080026	0.267762679084438	0.87099839252335	0.705401414185479	0.797996300455372	-1.54840205909903	0.570878651429209	0.136720948492548	0.67192103128296	-0.537251713484939	0.262395220486178	0.520261262085543	0.168974280784131	0.891020856135906	0.334292887928174	0.630736544411915	0.926223177446288	0.487814960747655	-0.374108508875814	-1.3135267590087	1.00031511950203	0.946630308267408	0.591997167770401	0.840320153245421	0.556204570618542	0.418058336577246	0.048265207858393	0.844343774457955	0.696156211222721	0.580847945762238	0.0918360145866386	0.268021396151103	0.0530246864613222	0.262213304864384	0.100215711331543	0.0758744164570525	0.864698429334996	-0.201846025602544	0.591677865137684	-0.65011626172506	0.198702438488245	0.353992400415125	0.156217810675998	0.701971322914491	1.02080778588553	0.674207060470709	1.02290829678447	-0.946915267770826	-1.73773341903286	0.761539340794532	0.826510823997387	0.416486978460122	0.809744683844436	0.729767322055393	0.820558588207702	-1.14255286778893	-0.0411707042228709
