"cHL01"	"cHL03"	"cHL07"	"cHL08"	"cHL100"	"cHL101"	"cHL102"	"cHL104"	"cHL107"	"cHL109"	"cHL110"	"cHL111"	"cHL118"	"cHL12"	"cHL121"	"cHL122"	"cHL123"	"cHL13"	"cHL14"	"cHL16"	"cHL26"	"cHL47"	"cHL48"	"cHL55"	"cHL56"	"cHL59"	"cHL60"	"cHL68"	"cHL74"	"cHL95"	"HL005"	"HL014"	"HL021"	"HL022"	"HL080"	"HL353"	"HL356"	"HL357"	"HL359"	"HL364"	"HL367"	"HL368"	"HL370"	"HL376"	"HL378"	"HL382"	"HL398"	"HL400"	"cHL136"	"cHL138"	"cHL139"	"cHL04"	"cHL05"	"cHL10"	"cHL103"	"cHL108"	"cHL11"	"cHL112"	"cHL113"	"cHL117"	"cHL120"	"cHL15"	"cHL19"	"cHL20"	"cHL21"	"cHL22"	"cHL23"	"cHL32"	"cHL33"	"cHL36"	"cHL39"	"cHL42"	"cHL45"	"cHL49"	"cHL54"	"cHL57"	"cHL58"	"cHL63"	"cHL64"	"cHL65"	"cHL69"	"cHL70"	"cHL71"	"cHL87"	"cHL93"	"HL001"	"HL002"	"HL007"	"HL010"	"HL031"	"HL032"	"HL360"	"HL363"	"HL383"	"HL387"	"HL391"	"HL393"	"HL419"	"cHL124"	"cHL148"	"cHL150"	"cHL153"	"cHL154"	"cHL162"	"cHL169"	"cHL175"
"PPIL4"	0.237114539415383	0.478402444508362	0.998826812155085	0.960257191209415	0.678277996585599	1.04500422049394	0.840199178425816	1.23037289395706	0.944142002033346	1.27546829263012	1.13288115210729	1.25243193394744	1.27522003543774	0.122702116345827	1.1140596431422	-0.0756345601688671	-0.108986651857104	1.13584221750908	0.853793241886917	0.730524439950569	1.45539360340763	0.393436219486004	0.385919430924053	1.31819228434526	0.330469161110319	0.0632902831766654	1.39701589322347	0.675415427509117	0.802294793917822	0.86113657529698	1.11618691828594	0.230580452087299	0.87575043831716	0.716497797834827	1.01841764319314	-1.67208597164347	-0.457421404195861	0.989788936201268	1.23090595237202	0.241969906236698	0.661817341903685	0.453715269810086	1.45861778833227	0.780512132878456	0.376316687653755	0.917773921203028	0.868978078030007	0.137231287474734	1.20589307078695	1.14716371800684	1.35455859872679	0.940143851498431	1.07145436051913	-1.73895027212319	-1.0712800158002	1.11412391436836	0.210376010625136	-0.700870192312509	0.307622965270342	-0.85842585822295	1.3293800298712	-1.21137652149129	0.70759806807361	-0.163425323869875	0.494637239866859	1.19249820549544	-1.85940024593093	1.49205102682097	-0.267838180303432	0.100372002057877	0.605880187052565	1.15462727143087	-1.62440363515037	1.23893760986513	-1.00760941387743	-0.0952213481241411	-0.760204997027744	-0.304170699281051	-0.985240766485507	-0.592902215306157	1.23947301644632	-0.464154471019273	-1.11402943178161	1.62387284679246	0.413762420711435	-0.782540424259888	1.41735472518264	0.668427189255014	0.768479282118325	0.984587372401446	-0.797068772602326	1.31669634507031	0.353750624304506	0.0597318842694558	0.853715567538828	-1.21471960375914	0.386380872560927	1.4523505294976	0.278063603717169	-0.248255505004172	-1.10138476571322	0.903747260275656	-1.54678655503717	-2.14335450984727	0.14767307080414	-1.40420457103198
"AP5M1"	0.67318713708053	0.195389276542199	0.170692243663002	1.00852381755894	0.896523307713664	1.30310093930527	0.712493534254019	0.891531284104094	1.16358733266503	1.04909458819947	1.11989998868477	1.2320029265154	1.05169956633187	1.23490330228313	1.19633138662471	1.09888290497	1.16076918930244	1.18538829444787	1.4351790744686	0.460921047262971	0.43754824329742	0.831646425125616	-0.839003640863494	0.280473806346837	-0.283344277607292	0.814808480736508	1.09167300047086	0.469301733785942	0.829342456412557	1.2260921191175	0.774027650646343	0.305256037806521	1.28953664694982	0.289504189983225	0.342324363748903	1.04677094630084	0.0509710827190354	1.09808836525093	1.07679497146963	1.16182871558952	1.21161284038972	1.08547190788008	0.940342314704642	-0.158459756588904	-0.283801214016312	0.472826670645959	1.09951244620637	-0.624738767601394	-0.950732116338455	0.606224989055771	0.382825391428044	0.477090440219645	-1.16138155364678	1.16485219119249	1.04151178438019	1.12268182109121	-0.875589276513532	1.1406778704502	1.22375074340791	-0.281911806188387	1.20209754671517	-1.60870690470161	1.19412470401245	-0.953720597049495	-0.845562820688423	0.571845657121745	-1.58188579995855	0.534184980232441	0.939106675457539	-1.06118587731738	-0.440240376036921	1.04006974339572	-0.0467732119244391	0.0839215629870545	0.415427234898545	-0.715130823974374	-1.03989472815965	0.461266379256012	0.180427188646637	0.811147013604673	0.107836296181386	0.452221329345472	-1.48941821059745	1.42024978594682	-1.16831156328135	-0.903247327003386	0.271247572607557	-0.418931931442078	0.259819754907882	-0.468076726236478	-1.427127070381	1.28886294378433	1.09578763699768	0.183403356392521	1.05464411986191	1.28524317704817	-0.0047847461445384	1.34435592431612	1.08559851974036	-0.392787053352346	-1.33905347142591	1.0154949512914	-1.08438654496721	-1.76652829844611	-0.450152406214813	1.07820793536107
"UBE2V2"	0.150256805182754	1.20308817969822	0.773086337223902	-0.0719730672173374	0.434902180783187	-0.939004620194307	1.02085913295636	1.04747220997621	0.610173182389688	0.851955208612812	1.36558282915311	1.18327182386487	1.18693502643091	0.423035291808642	0.152892962947137	1.11235117317503	1.0419872380738	1.1337530589726	1.18841378201849	0.0931907610927728	0.373055624944039	0.0660351487617477	0.0993171415343732	0.401905558186638	1.15118471921236	0.273161534936944	-0.267054181463998	1.04808180482075	0.59982262745609	1.54648160970397	-0.304093438235675	-0.948726357488068	0.954617730651698	-0.0395884496671817	0.13979759611758	1.01397930370781	1.21514451177091	1.1174797173285	0.393834412453087	1.17975981785665	1.26465735183971	1.0430747399816	1.26830886857275	0.992870245981013	0.594068048155348	1.16982280213767	1.39866608756744	0.0682768751649572	0.241379179885563	1.21677687122993	1.05092914244534	-0.110964038992887	0.528445107267734	-0.735943581255078	1.153842330614	0.989382887340273	-1.03897525334346	-2.42807156334598	1.36532892825929	0.227825590510454	-1.04931896254669	0.412603714740437	1.09456132168283	-1.92355160184301	-1.19432644709782	0.936264459805917	-0.0637667846650133	0.708325376050268	0.130760353333138	0.159157483149421	0.0823218838951843	-0.0915176508177913	1.08695367499768	-0.0192124424248658	-0.978171592464582	0.0596462083133405	-0.421607375782346	-0.944283831264375	-0.816216549651435	-1.56328933274938	0.0404461259848111	-0.977018668341679	-1.04561700481555	1.45158876403708	1.47296234918554	-0.884942026545148	-0.0674092355636043	1.11049846210996	0.0639794698508306	0.0320719007048167	0.160094354851176	1.27338628127738	1.06964099351412	0.431388301055011	-1.01488140540551	1.08639217948226	-0.538530920548194	0.264867668773827	0.0909445500278267	-1.49025027121013	0.329066286554133	0.154446748902479	-1.09050676361585	0.187510235074815	-1.16937669310719	-1.14573301027761
"PYHIN1"	1.34889432826133	1.37070315631026	-1.06762783523523	1.06652523325853	1.22424433430001	1.21798022185401	-0.457644380215022	0.249553295284005	1.41395183127434	1.52039836599196	0.0429779271843258	-0.588117551611629	1.18421097765436	1.42947995360811	1.24071610581428	1.35361464972513	0.570041902783735	-0.229159032429586	0.293698688877095	0.803987105265466	1.3581228977219	0.458065601829412	0.0911693933230288	1.19469435587384	-0.323443468629817	1.3069897385209	-0.74829374311387	0.175120361369411	1.22209737649872	1.49607487578734	1.15844216425111	1.19111763668007	1.15704786494244	-0.319329489742415	1.28909866774696	1.39471726879033	1.29308086897897	1.47105542327636	-0.0794704067287146	-0.219171136912053	1.37476043401577	1.3415214336438	0.178109999807123	-0.632481909190578	1.29047917317024	-0.289602486443791	1.34671944230348	0.227220486721284	-0.334826974663531	0.199174991206817	-0.390387889720798	-0.66752481436726	-1.00901099398771	-0.842235900157862	1.36850594032655	0.186660051240167	-0.708480629678338	1.29066426053504	-0.0887014915378661	1.43656017051608	0.0751759960155847	-0.948868331714656	1.2435837789451	0.357557083806838	1.36589346665622	0.76051842403747	-0.76993286227718	-0.717732011722554	-0.20683487228021	0.0578147754993949	-0.308812661377405	-0.0726710676724386	-1.31656262743729	1.27744807117985	-1.16255015090044	-0.202886178952613	-0.669232727665801	-0.980631280388774	-1.03634397524783	1.30492803540773	-0.59125574323459	-0.607835048589448	0.123821223377101	1.8238600555221	1.22992039272471	1.28831730492082	-0.394725881554117	-0.235954359284942	-1.00473312114682	-0.393130647627507	-1.86394706606755	1.21994116326736	-1.58972593271183	-0.930181904212437	0.0497862260812215	-0.958892975210118	1.38604665500931	1.15131116969136	1.36669462115093	-0.770165270809645	1.26243856726865	0.113698711033445	-0.442856786023916	-1.44834562085027	-0.816574854440794	-0.447394923845665
"PNPT1"	1.19321258883678	1.40050679331506	1.38857212153963	0.342613195827843	1.27685312543731	0.0710216832694673	0.0996354761965756	0.336144825375617	1.10065037717363	0.154169619745917	1.38767534427793	-0.731478829115486	1.3361483933157	0.747388832707494	1.3875714860198	1.12305827884271	1.44992085320048	1.12746348553001	1.3208915933309	0.570036484991745	1.35210350252602	0.402483962532285	1.15152601729084	1.15026979415627	1.13454334524928	0.370925207327314	1.15563855751361	0.0182406252273907	-1.29639354614093	1.70546848075833	0.47821973195541	-0.687865080345516	-0.155190531799943	0.337755186016349	1.26724767520225	-0.903223858103862	1.3905115287578	0.53242932960815	-0.110853887306574	1.2827098663143	1.21234611968328	0.0385427709749572	1.34081789860912	0.139591565297864	0.390215138312054	-0.866152124172311	1.30799450425105	0.11453692494033	-0.213160900901367	-0.785049641985381	1.19867707714846	-1.1026467477475	-0.25886198713019	1.50080738814649	1.34520998057688	-1.09802676171247	0.433553229518112	-0.53010158912813	-0.659788898419523	1.14471273050123	0.396753877326331	-1.08952398933968	0.0744254428338366	-1.5331054547615	0.355025491367306	0.330132551322338	1.3231656641039	-0.563041674975576	-0.218759034799387	0.827632699919849	1.29976349240387	0.185107960897072	0.149587490945309	-0.242610730627466	0.618042050409287	-0.439977995684345	1.13921731153608	-0.822404188910344	0.0281939156281289	1.53433688552984	0.683620652968959	1.16535287063624	1.29329093667068	-1.34326720478251	-0.308719824826703	0.575643732128812	-0.507724853989097	0.596183131415697	0.0533619628262745	-1.07138243575922	-0.35282710124945	-0.554313997792445	-0.771759080260718	1.11278262336071	-1.36300815192579	1.31975041904866	-1.1591237470844	1.12784304171962	0.297048501419053	1.1427743775078	-1.25428090667815	1.30563816656814	1.31809079056639	-1.36790747931964	-0.635033067045912	-1.13486120906934
"SUPT20H"	0.136985918803362	0.499834669712	0.202850646438871	0.805383172044966	0.572823881955091	0.0109369724245338	0.227360996033657	0.214474625105019	2.00733420829257	1.08757326256107	1.21331874923137	1.58977547773166	1.19845930818749	0.700122031223392	1.22923005105797	1.32492448276218	1.64658182634248	0.475553152413172	1.08073082607716	-0.251239030927911	1.17254777702174	0.901027816722036	-0.774992703148281	1.14528721783907	0.471408594883343	1.22343216124838	1.05172671146332	1.16770029001239	1.29727099167328	1.46879969539408	0.731134485187196	-0.581613272410015	1.549880917549	0.0403330109846683	-0.425077276752792	1.46291402145427	-0.982492604278365	0.842789072191241	0.886227084705058	-0.665430110425144	-0.76740558977325	0.42952308570385	1.12797671645002	0.852484387164265	-0.772323202705895	1.63049527513211	1.62172357163007	-0.0553356366074431	-1.1142835447233	0.327311226952351	-0.586050713558374	0.405054814954761	-0.909121713108635	-1.41887558215121	0.461583641758673	-0.342720354145884	-1.11521497349421	-2.01073472933205	0.59285599456456	-1.15438734421076	1.2416176950987	-0.924051446130697	1.71680660452633	1.54559494750684	-0.0848505005628583	0.231496343635792	-0.823424245502859	0.0113672017294575	0.48669773156083	-0.221040402008252	-0.780527146469784	1.21945680034914	-0.0375972970407426	-0.367858505474638	0.479292813461803	0.750167216282522	-1.08884597139814	0.601607056473591	0.0190193759050672	-0.461409294577045	0.159813975874874	-1.68401197499245	-0.874753349028647	2.64535698132772	-0.215079176586239	-0.62810172218639	0.851023972651468	-0.45571099564763	-0.423230768896556	0.836779129690528	-0.22928749507215	1.24311420252018	1.08672765989876	0.485050973264471	-0.233984958909997	0.834728778981719	-0.331911276920636	0.742427168081141	1.55862734127129	-0.595355951006643	-0.746193838623073	0.16719789915339	-0.75963669490934	-1.07111884086313	-0.216164791485615	-1.13617744294571
"RAP1B"	-1.03244292248688	1.97105963293468	0.41982562109281	0.360012484471583	1.7027179713989	1.72379107583402	0.84976967246025	0.864207874694329	1.3253657845263	0.823016084973359	0.381675364410025	0.60375382087037	1.70436988372866	0.253046187742985	1.7582942834191	1.3116697471697	1.65471307337284	0.777612421995249	1.91401932627295	0.428485210754336	1.67749297104098	1.64849847134408	-0.354752740130529	-0.271755409504778	-0.481670540040092	0.563387664921509	1.1480419253735	1.86850771069065	1.77015405647142	-0.966383237226332	-0.321444488273263	-0.252038375530967	0.697663164436167	-1.39269159726462	-1.33235983404116	0.869426443029978	-1.01260022735131	0.0220670481622665	0.855464465649266	0.744559805729368	0.952521389397504	0.406855540202957	1.14330294036436	0.62603444616317	0.0660367868997201	0.909704199029725	1.59790485637223	-0.0830718091977044	-0.76220266018415	-0.0874635869348241	-0.369866212713742	1.87907474503372	-0.618940863167435	-1.0025193695195	-0.166558132558802	-0.911083800544169	-0.749823560850829	-0.919044830894089	1.70979968036628	0.851509783119017	0.679330318427948	-0.724685725066765	1.61786968493439	1.00319487584832	-0.952031286062481	-1.17452942099641	-0.160407572398497	-0.857135535319341	0.288815680495793	0.971867121468512	0.448198068918419	0.58494084817595	-0.985091139059393	-0.103627437245644	-0.129317987384235	0.128406928175811	-1.00438323107542	-1.30557130147073	0.267046408441215	-0.948681822591921	-0.29463837684568	-0.601135666768162	1.8451863960104	1.25642009897135	1.83535211274911	-1.56520938834109	-0.535248553893584	-0.483709457666691	-0.599386255023434	-0.317488907975495	-0.856308577748542	0.546619353684295	0.684036438219609	-0.83622242544285	-0.79923912290715	-0.0579304746677007	-0.800140000113061	-0.795058970169884	-0.381554284912571	-0.612732986453727	-1.12268897609895	-0.654810813532928	-0.729891533081251	-0.616630252393981	-1.32260661091552	-0.488148386080788
"EED"	0.480606914369576	1.1443732920137	1.14069000802138	1.18718394504142	0.365291255260268	0.995887559812002	0.370217892134574	0.379071070460454	0.619740734958612	1.24195754474123	0.930327585135005	0.70188994592248	0.935631665759834	0.875645669666849	0.53965724857311	-0.232239925143797	1.22140607814805	1.10192619612588	0.390340543058099	1.11482114831518	1.3104776949697	0.97875209453602	0.733316266880407	0.557826615977551	-0.514666613254503	-0.326834241219842	0.21799901565962	0.309864046897376	1.0530435680313	-1.98627934980544	1.00016579608607	0.8419186402066	0.0704712030574737	-0.146768008772451	0.293749234636082	1.06145839154021	-0.108827971731072	0.835621709295717	-0.358151217156252	1.04724236641146	0.922106057741506	-0.482633436562942	1.19581222931492	0.963991199367151	0.742099736267217	1.0149248897964	0.685315729703155	0.320328170136831	-0.407074062485445	0.780551147855395	1.18053601036828	-0.477522957712025	0.548801603287677	-1.93445943971714	-0.814334451991478	0.3084025069501	-0.377970831351247	1.04883082553831	-1.54935411437976	0.80203795511339	-1.90463365396243	-0.860521433997805	1.14833587584232	0.779683745057972	-0.247224548876162	0.297833905038716	-2.0111492259815	0.0406823522195001	0.245824692688573	-0.111176809886688	-0.489876259277736	1.14673928881899	-1.9435911067328	1.29646031679561	-0.0838325891617502	0.0403593971942587	0.188722976282176	-0.721752578630949	-0.0899774330675924	-0.356723465995732	-0.0784261869386272	-0.269007345644478	0.751919631405906	1.66345620684992	-0.234132733114956	-0.597803580948329	0.108700438927695	0.919462878068536	0.727601541739623	0.390747623712284	-1.75051393041538	0.591808578227196	0.577714317171341	0.197428259949128	0.94038268301375	0.79353654231342	0.0762163406065685	1.38404095995555	0.272505143958588	1.13811020990432	1.33214349202104	-0.368984574308112	0.485674953290679	-1.84065990035203	1.17862211715366	-1.4344982490028
"PABPC4"	1.03349399011439	0.209362079625062	1.15206964798133	-0.209296133348419	0.90721168370235	0.92527234330645	0.41349573654106	-1.32737468874007	0.840015950258306	0.409568679580236	0.813012930226233	0.461810218513227	1.1195203584167	0.565216714369387	-1.18738902383715	0.973391949554005	-1.71090212768078	0.998411791767343	-1.49998412731266	0.944738121994004	0.375803360837442	0.407809723098257	1.29366502650705	0.885825808794715	1.26690410802293	1.05667010602379	0.713132316689271	1.11984102366346	1.24942503135801	1.04508408891256	0.236016369837598	0.498410017754973	-0.949456930215501	0.683704216271236	1.0892872166622	-1.00150825828125	1.17646945515045	0.306757865326648	1.26779560224133	0.7453023974734	1.1838421846638	-1.17166640065869	0.946721295887052	1.0904612999531	1.09215215118895	0.705889392194777	1.24215045534529	1.26576844918816	1.05055431242932	0.301518380366401	1.04913651594943	0.191688289695293	0.664881608334398	-0.0535562387083855	0.524712129606316	-1.21199188688915	0.124810960046459	-1.53579080417007	0.352531875920219	0.55773759366781	0.896896898821564	0.251101286139107	0.893546281020367	1.04814540961675	-1.28165580365156	0.772951615380626	-0.631990714394134	0.71118427151871	-0.152541618439206	0.0349437565918396	1.06408045106696	1.15676019996997	0.908091377741228	-0.0171589994800797	0.769935865278184	1.02903368273698	1.02720860835824	-1.54314728135254	-1.19862436134318	0.941796330875728	1.06414164852248	-0.391639326631262	-0.737281739208357	1.03122306263292	-0.148763531685156	0.430692079192133	-0.619494454594959	-1.39145391737197	0.638772409065652	-0.446208489938868	-0.853918706023068	-1.23609994999898	1.30524202242464	1.03340151612769	-1.48040608585543	0.939373829170586	0.112757963879765	-1.35644496852362	-0.671023689154606	0.838090111591455	-1.42866249114147	0.656741756259536	-1.28282401999306	-1.24023879191309	0.563405503095466	-1.30682442064542
"PUS7L"	-0.197520326231564	0.083527509789414	1.1692960198383	1.13906940313078	-0.807778864460232	1.03988886709206	1.10597307564995	0.973875323818484	0.477550138827686	1.28439580287391	-0.185885310450049	0.905795346497337	0.979768085877254	1.09737266167088	1.13986100732554	0.567370222424389	0.977235961560241	-1.23411832494551	1.15609897079098	1.13994402999131	0.615920427330853	-0.324559931401496	-0.189494878729897	1.07169582799476	0.28266950128266	0.230186067767821	-0.171312646656594	0.268070332932981	1.14556993920843	0.526116652037097	-0.100448315683522	0.903568897492097	0.0681423560905391	-0.25422344466909	0.149994289997668	1.12989731222644	1.03528576096158	1.04602551784808	0.143151437660501	1.01129136894142	0.101681420887074	0.0230815314408738	0.797444844302986	0.02947721879877	1.0964907186632	1.32191523194416	1.27258646970495	1.12012587041918	0.267026613559208	0.277728240529414	0.0781108492304385	-0.627168996789477	0.197193072081652	-1.85607644553867	1.1082168669808	1.11307240739878	-0.330067984882092	-1.32819635438274	1.03794054054253	1.0332040158514	1.19539528053643	0.17121143639629	-0.214164594100082	1.39703807804139	-0.234192238606235	0.942632188517692	-0.797016875720769	0.972620381572427	0.155013842820788	0.0209743276340906	-0.189254334775672	0.0878134373401907	-1.66438258037804	0.150631003506152	1.0075007790292	1.05939455157094	-0.0546991335786688	-0.140138124372806	-0.20155350614159	-0.979942378270025	0.271984107140121	-1.18880518397007	-0.219296538330561	-2.9157388846738	-0.155303658532417	-2.47458319409873	-0.112582527435901	0.808447715353144	0.117361122167746	1.1163432101784	-0.82497063538255	1.0834948717069	-0.741163053001915	-0.093199522179248	-1.40522798311506	-1.58928889508216	-0.0847201858483456	0.73995665237123	1.15618288957088	0.0520753015506686	-1.66464825304586	-0.291761829283713	-0.35518435842594	-1.89306829553792	0.58287917105888	-1.17092591829355
