"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"	"InitialState"
"EFEMP1"	"EFEMP1"	1.41481621564441	-0.635352145800603	-1.0807105701509	"S01"	1.41481621564441	"IS01"
"IGF1"	"IGF1"	1.41477717179844	-0.87281048760632	-0.823790785026548	"S01"	1.41477717179844	"IS01"
"PRSS23"	"PRSS23"	1.41156194272239	-0.683763125419602	-1.02427525114517	"S01"	1.41156194272239	"IS01"
"COL6A3"	"COL6A3"	1.40982385149985	-1.03893380419337	-0.637896741571658	"S01"	1.40982385149985	"IS01"
"SH3D19"	"SH3D19"	1.4067694652181	-0.774699978887115	-0.919915296162544	"S01"	1.4067694652181	"IS01"
"TIMP2"	"TIMP2"	1.40560432956157	-0.75841317730936	-0.93607757915105	"S01"	1.40560432956157	"IS01"
"FBLN2"	"FBLN2"	1.40493416735951	-0.711120751351926	-0.986398789062725	"S01"	1.40493416735951	"IS01"
"SSC5D"	"SSC5D"	1.40468304067775	-0.66487705099673	-1.03610917960815	"S01"	1.40468304067775	"IS01"
"DPT"	"DPT"	1.40132357876114	-0.838095959588534	-0.844531207831294	"S01"	1.40132357876114	"IS01"
"MSRB3"	"MSRB3"	1.39732580982539	-0.668219347973261	-1.02329979031	"S01"	1.39732580982539	"IS01"
"PTGIS"	"PTGIS"	1.39517272624091	-0.767311856348707	-0.913415719865443	"S01"	1.39517272624091	"IS01"
"MGP"	"MGP"	1.39501541987062	-0.541420172871707	-1.15757788512601	"S01"	1.39501541987062	"IS01"
"LAMA2"	"LAMA2"	1.39432735303835	-0.752386909843361	-0.92850440001007	"S01"	1.39432735303835	"IS01"
"HEYL"	"HEYL"	1.39260520234613	-0.634663169855977	-1.05370021072264	"S01"	1.39260520234613	"IS01"
"ADGRA2"	"ADGRA2"	1.39251166049049	-0.71035011853935	-0.971708822689349	"S01"	1.39251166049049	"IS01"
"NES"	"NES"	1.3913707841621	-0.790283863536094	-0.883814669142349	"S01"	1.3913707841621	"IS01"
"DPYSL3"	"DPYSL3"	1.38761372765695	-0.971804559204482	-0.682759375917992	"S01"	1.38761372765695	"IS01"
"PTPRG"	"PTPRG"	1.38708199141792	-0.961160206581994	-0.693609447556912	"S01"	1.38708199141792	"IS01"
"SEMA3C"	"SEMA3C"	1.38626014152363	-0.768449789198067	-0.901047280800669	"S01"	1.38626014152363	"IS01"
"RBFOX2"	"RBFOX2"	1.38553874760544	-0.778567688343919	-0.889200745821045	"S01"	1.38553874760544	"IS01"
"LAMB1"	"LAMB1"	1.38213262304968	-0.967536743890643	-0.680526712565782	"S01"	1.38213262304968	"IS01"
"FBXO17"	"FBXO17"	1.38040702949161	-0.549577638157271	-1.13049837572303	"S01"	1.38040702949161	"IS01"
"CACNA1C"	"CACNA1C"	1.3801271083765	-0.752611212524461	-0.910516636919213	"S01"	1.3801271083765	"IS01"
"ANTXR1"	"ANTXR1"	1.37996349576761	-0.815226589789451	-0.842577882252691	"S01"	1.37996349576761	"IS01"
"ANKRD50"	"ANKRD50"	1.37831694402207	-1.0564860891874	-0.579537389773765	"S01"	1.37831694402207	"IS01"
"IL1R1"	"IL1R1"	1.37736881445367	-0.910975056202073	-0.735759399308908	"S01"	1.37736881445367	"IS01"
"CD248"	"CD248"	1.37529804272914	-0.576015235624847	-1.09551508755932	"S01"	1.37529804272914	"IS01"
"TWIST2"	"TWIST2"	1.37514493435484	-0.315551007344224	-1.37708141221266	"S01"	1.37514493435484	"IS01"
"COL14A1"	"COL14A1"	1.37504372434288	-0.920731382320406	-0.722299961661442	"S01"	1.37504372434288	"IS01"
"PXDN"	"PXDN"	1.37483931848507	-0.893773764202916	-0.751205981531176	"S01"	1.37483931848507	"IS01"
"NNMT"	"NNMT"	1.37235722960654	-0.855167031528312	-0.789867179825862	"S01"	1.37235722960654	"IS01"
"TPM1"	"TPM1"	1.37233315331544	-1.09454148887271	-0.530893337201951	"S01"	1.37233315331544	"IS01"
"PDLIM7"	"PDLIM7"	1.37198330406911	-0.695863338588882	-0.961726969910652	"S01"	1.37198330406911	"IS01"
"SERPINH1"	"SERPINH1"	1.37176256802338	-0.819936820926518	-0.827234414483888	"S01"	1.37176256802338	"IS01"
"BNC2"	"BNC2"	1.37021110757468	-0.96466860624453	-0.668731782272599	"S01"	1.37021110757468	"IS01"
"NBL1"	"NBL1"	1.36874307785379	-0.792826169600542	-0.852788150319474	"S01"	1.36874307785379	"IS01"
"LAMC1"	"LAMC1"	1.36476564277286	-0.829564108674431	-0.808076475453749	"S01"	1.36476564277286	"IS01"
"COL15A1"	"COL15A1"	1.36206417356116	-0.719593997512893	-0.923660993301166	"S01"	1.36206417356116	"IS01"
"MXRA5"	"MXRA5"	1.36190859716645	-0.740672359827247	-0.900665022689771	"S01"	1.36190859716645	"IS01"
"ACTA2"	"ACTA2"	1.36117944114797	-0.687992115758905	-0.956740793934763	"S01"	1.36117944114797	"IS01"
"GXYLT2"	"GXYLT2"	1.35670370115574	-0.724455031763508	-0.911703926500074	"S01"	1.35670370115574	"IS01"
"HSPG2"	"HSPG2"	1.35438159154057	-1.35333387529687	-0.228511300385038	"S01"	1.35438159154057	"IS01"
"UNC5B"	"UNC5B"	1.3541341455778	-0.851305638706169	-0.771272044282225	"S01"	1.3541341455778	"IS01"
"AKAP12"	"AKAP12"	1.35229091397567	-0.87503345025085	-0.743301074054441	"S01"	1.35229091397567	"IS01"
"SNAI2"	"SNAI2"	1.34891486325074	-0.719224876739252	-0.907628451501971	"S01"	1.34891486325074	"IS01"
"PTGFRN"	"PTGFRN"	1.34726111945781	-0.716177339331105	-0.908858554469394	"S01"	1.34726111945781	"IS01"
"RNASE1"	"RNASE1"	1.34704379064376	-0.597558140174035	-1.03690350791547	"S01"	1.34704379064376	"IS01"
"FKBP10"	"FKBP10"	1.34614989589203	-1.06650344042005	-0.528504031434048	"S01"	1.34614989589203	"IS01"
"COL4A2"	"COL4A2"	1.34287165517945	-0.951792305179709	-0.64849640685466	"S01"	1.34287165517945	"IS01"
"FNDC1"	"FNDC1"	1.34253061159841	-0.750950742169321	-0.865330954132509	"S01"	1.34253061159841	"IS01"
"TUB"	"TUB"	1.34219791126193	-0.734896133534747	-0.88228230232257	"S01"	1.34219791126193	"IS01"
"FBN1"	"FBN1"	1.34123031077181	-1.07138466312484	-0.517076073934545	"S01"	1.34123031077181	"IS01"
