"B_cell_S01"	"B_cell_S02"	"B_GC_S01"	"B_GC_S02"	"CAF_S01"	"CAF_S02"	"CAF_S03"	"DC_Conventional_S01"	"DC_Conventional_S02"	"DC_Conventional_S03"	"DC_Conventional_S04"	"DC_Plasmacytoid_S01"	"DC_Plasmacytoid_S02"	"HRS_S01"	"HRS_S02"	"HRS_S03"	"Macrophage_S01"	"Macrophage_S02"	"NK_cell_S01"	"NK_cell_S02"	"Plasma_S01"	"Plasma_S02"	"T_CD4_S01"	"T_CD4_S02"	"T_CD4_S03"	"T_CD8_S01"	"T_CD8_S02"	"T_gd_S01"	"T_gd_S02"	"T_Treg_S01"	"T_Treg_S02"	"T_Treg_S03"
"T_CD4_S01"	0.660714285714286	0	0.385416666666667	0.387755102040816	0	0.407766990291262	0	0	0	0	0.505494505494505	0	0	0.35	0	0	0	0	0.404040404040404	0.3	0.252427184466019	0	1	0	0	0.473118279569892	0	0.391304347826087	0.463636363636364	0	0	0.479591836734694
"T_CD4_S02"	0	0.333333333333333	0	0	0.309278350515464	0	0	0.625	0	0	0	0	0.323232323232323	0	0	0.338235294117647	0.376623376623377	0	0	0	0	0	0	1	0	0	0	0	0	0.349206349206349	0	0
"T_CD4_S03"	0	0.41	0	0	0	0	0.672131147540984	0	0	0.435483870967742	0	0.396396396396396	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.261904761904762	0	0	0	0	0
"T_CD8_S01"	0.441176470588235	0	0	0.385714285714286	0	0	0	0	0.308641975308642	0	0	0	0.278846153846154	0.246753246753247	0.322033898305085	0	0	0	0	0.333333333333333	0	0	0.473118279569892	0	0	1	0	0.618181818181818	0	0	0.226666666666667	0.247058823529412
"T_CD8_S02"	0	0	0.414285714285714	0	0	0.275862068965517	0	0	0	0	0.337662337662338	0.365217391304348	0	0	0	0	0	0.40625	0.521739130434783	0	0.439393939393939	0	0	0	0.261904761904762	0	1	0	0.548780487804878	0	0	0.305882352941176
"T_gd_S01"	0.352941176470588	0	0	0.23943661971831	0	0.227848101265823	0	0	0	0	0.236111111111111	0	0	0.260869565217391	0.232142857142857	0	0	0	0	0	0	0	0.391304347826087	0	0	0.618181818181818	0	1	0	0	0	0.25974025974026
"T_gd_S02"	0.368	0	0.388235294117647	0.301075268817204	0	0	0	0	0	0	0.340659340659341	0	0	0	0	0	0	0.297619047619048	0.458823529411765	0	0.461538461538462	0.215909090909091	0.463636363636364	0	0	0	0.548780487804878	0	1	0	0	0.313131313131313
"T_Treg_S01"	0	0.27	0	0	0.421686746987952	0	0	0.464285714285714	0	0	0	0	0.402298850574713	0	0	0.673469387755102	0.46969696969697	0	0	0	0	0.469387755102041	0	0.349206349206349	0	0	0	0	0	1	0	0
"T_Treg_S02"	0.27027027027027	0	0	0.263888888888889	0.255102040816327	0	0	0	0.36986301369863	0	0	0	0.282828282828283	0	0.384615384615385	0	0.275	0	0	0.324324324324324	0	0	0	0	0	0.226666666666667	0	0	0	0	1	0
"T_Treg_S03"	0.435185185185185	0	0.569230769230769	0	0	0.561643835616438	0	0	0	0	0.65625	0.367521367521368	0	0.464788732394366	0	0	0	0	0.5	0	0	0	0.479591836734694	0	0	0.247058823529412	0.305882352941176	0.25974025974026	0.313131313131313	0	0	1
