"Gene"	"IS01"	"IS02"	"State"	"MaxFC"	"InitialState"
"SP110"	"SP110"	0.967095128651265	-0.967095128651265	"S01"	0.967095128651265	"IS01"
"ERMN"	"ERMN"	0.965973999577329	-0.965973999577329	"S01"	0.965973999577329	"IS01"
"CCSER1"	"CCSER1"	0.956940189453717	-0.956940189453717	"S01"	0.956940189453717	"IS01"
"IKZF3"	"IKZF3"	0.956755748259843	-0.956755748259843	"S01"	0.956755748259843	"IS01"
"POU2AF1"	"POU2AF1"	0.955635709882284	-0.955635709882284	"S01"	0.955635709882284	"IS01"
"TMEM154"	"TMEM154"	0.954882939816466	-0.954882939816466	"S01"	0.954882939816466	"IS01"
"KLHL14"	"KLHL14"	0.954615330055368	-0.954615330055368	"S01"	0.954615330055368	"IS01"
"CXorf65"	"CXorf65"	0.951029154625666	-0.951029154625666	"S01"	0.951029154625666	"IS01"
"NUP88"	"NUP88"	0.949704296664005	-0.949704296664005	"S01"	0.949704296664005	"IS01"
"RPL35"	"RPL35"	0.94858042883312	-0.94858042883312	"S01"	0.94858042883312	"IS01"
"GRAP"	"GRAP"	0.94796282917114	-0.94796282917114	"S01"	0.94796282917114	"IS01"
"HVCN1"	"HVCN1"	0.945853359518639	-0.945853359518639	"S01"	0.945853359518639	"IS01"
"MEF2C"	"MEF2C"	0.945730662172932	-0.945730662172932	"S01"	0.945730662172932	"IS01"
"RASGRP2"	"RASGRP2"	0.944828219553105	-0.944828219553105	"S01"	0.944828219553105	"IS01"
"CETP"	"CETP"	0.941683356788434	-0.941683356788434	"S01"	0.941683356788434	"IS01"
"PIK3CD"	"PIK3CD"	0.937286311459353	-0.937286311459353	"S01"	0.937286311459353	"IS01"
"RALY"	"RALY"	0.937015998055735	-0.937015998055735	"S01"	0.937015998055735	"IS01"
"TLR9"	"TLR9"	0.935208766873059	-0.935208766873059	"S01"	0.935208766873059	"IS01"
"MGAT5"	"MGAT5"	0.932971295257738	-0.932971295257738	"S01"	0.932971295257738	"IS01"
"RPS15"	"RPS15"	0.93146645078959	-0.93146645078959	"S01"	0.93146645078959	"IS01"
"MARCH3"	"MARCH3"	0.92657683341265	-0.92657683341265	"S01"	0.92657683341265	"IS01"
"RPS10"	"RPS10"	0.921659256749572	-0.921659256749572	"S01"	0.921659256749572	"IS01"
"NIPSNAP3B"	"NIPSNAP3B"	0.920963516703402	-0.920963516703402	"S01"	0.920963516703402	"IS01"
"TMC6"	"TMC6"	0.919316515467817	-0.919316515467817	"S01"	0.919316515467817	"IS01"
"SOX8"	"SOX8"	0.918010093249124	-0.918010093249124	"S01"	0.918010093249124	"IS01"
"BEND5"	"BEND5"	0.913581899063117	-0.913581899063117	"S01"	0.913581899063117	"IS01"
"RALGPS2"	"RALGPS2"	0.912986276040559	-0.912986276040559	"S01"	0.912986276040559	"IS01"
"PNOC"	"PNOC"	0.911441815536325	-0.911441815536325	"S01"	0.911441815536325	"IS01"
"FCRLA"	"FCRLA"	0.90571333182917	-0.90571333182917	"S01"	0.90571333182917	"IS01"
"RPL28"	"RPL28"	0.903115619310003	-0.903115619310003	"S01"	0.903115619310003	"IS01"
"LY86"	"LY86"	0.902359989411702	-0.902359989411702	"S01"	0.902359989411702	"IS01"
"H3F3C"	"H3F3C"	0.899920696662691	-0.899920696662691	"S01"	0.899920696662691	"IS01"
"CD72"	"CD72"	0.898203249509226	-0.898203249509226	"S01"	0.898203249509226	"IS01"
"ABCB4"	"ABCB4"	0.895835646388496	-0.895835646388496	"S01"	0.895835646388496	"IS01"
"FOXP1"	"FOXP1"	0.893304976210546	-0.893304976210546	"S01"	0.893304976210546	"IS01"
"S1PR4"	"S1PR4"	0.891842996552571	-0.891842996552571	"S01"	0.891842996552571	"IS01"
"JAZF1"	"JAZF1"	0.891294897333941	-0.891294897333941	"S01"	0.891294897333941	"IS01"
"ZNF607"	"ZNF607"	0.890614960339739	-0.890614960339739	"S01"	0.890614960339739	"IS01"
"UXT"	"UXT"	0.890298676699392	-0.890298676699392	"S01"	0.890298676699392	"IS01"
"CSK"	"CSK"	0.885663868819178	-0.885663868819178	"S01"	0.885663868819178	"IS01"
"OCIAD2"	"OCIAD2"	0.883830577284594	-0.883830577284594	"S01"	0.883830577284594	"IS01"
"ZNF157"	"ZNF157"	0.88379279464523	-0.88379279464523	"S01"	0.88379279464523	"IS01"
"TNFRSF13B"	"TNFRSF13B"	0.882274915971539	-0.882274915971539	"S01"	0.882274915971539	"IS01"
"MARCKSL1"	"MARCKSL1"	0.874038537035863	-0.874038537035863	"S01"	0.874038537035863	"IS01"
"RPS19"	"RPS19"	0.873475049210981	-0.873475049210981	"S01"	0.873475049210981	"IS01"
"RPSA"	"RPSA"	0.867406556627294	-0.867406556627294	"S01"	0.867406556627294	"IS01"
"SLAMF6"	"SLAMF6"	0.862259496601269	-0.862259496601269	"S01"	0.862259496601269	"IS01"
"RPL18A"	"RPL18A"	0.860732356124688	-0.860732356124688	"S01"	0.860732356124688	"IS01"
"APOBEC3F"	"APOBEC3F"	0.859468739196713	-0.859468739196713	"S01"	0.859468739196713	"IS01"
"CCL28"	"CCL28"	0.857213498933152	-0.857213498933152	"S01"	0.857213498933152	"IS01"
"SAFB"	"SAFB"	0.856261129402335	-0.856261129402335	"S01"	0.856261129402335	"IS01"
"P2RX5"	"P2RX5"	0.856011096386334	-0.856011096386334	"S01"	0.856011096386334	"IS01"
"RP9"	"RP9"	0.855028245275611	-0.855028245275611	"S01"	0.855028245275611	"IS01"
"FCRL5"	"FCRL5"	0.854490361693208	-0.854490361693208	"S01"	0.854490361693208	"IS01"
"RPL32"	"RPL32"	0.852200137872472	-0.852200137872472	"S01"	0.852200137872472	"IS01"
"RPL14"	"RPL14"	0.851210067736046	-0.851210067736046	"S01"	0.851210067736046	"IS01"
"CD48"	"CD48"	0.844879640886548	-0.844879640886548	"S01"	0.844879640886548	"IS01"
"FAM117A"	"FAM117A"	0.844430608613011	-0.844430608613011	"S01"	0.844430608613011	"IS01"
"ZNF268"	"ZNF268"	0.842125157933611	-0.842125157933611	"S01"	0.842125157933611	"IS01"
"ZNF85"	"ZNF85"	0.841172229393519	-0.841172229393519	"S01"	0.841172229393519	"IS01"
"GTF2IRD2B"	"GTF2IRD2B"	0.83989172105408	-0.83989172105408	"S01"	0.83989172105408	"IS01"
"CLCN4"	"CLCN4"	0.838497743456408	-0.838497743456408	"S01"	0.838497743456408	"IS01"
"ZNF404"	"ZNF404"	0.83797834992773	-0.83797834992773	"S01"	0.83797834992773	"IS01"
"C1orf186"	"C1orf186"	0.837033127510896	-0.837033127510896	"S01"	0.837033127510896	"IS01"
"IRF8"	"IRF8"	0.836789676112118	-0.836789676112118	"S01"	0.836789676112118	"IS01"
"E2F5"	"E2F5"	0.834212633818999	-0.834212633818999	"S01"	0.834212633818999	"IS01"
"LSM7"	"LSM7"	0.831976635333617	-0.831976635333617	"S01"	0.831976635333617	"IS01"
"SGSM3"	"SGSM3"	0.831787685725925	-0.831787685725925	"S01"	0.831787685725925	"IS01"
"TNFRSF17"	"TNFRSF17"	0.828319208930492	-0.828319208930492	"S01"	0.828319208930492	"IS01"
"CDCA7L"	"CDCA7L"	0.827037813870117	-0.827037813870117	"S01"	0.827037813870117	"IS01"
"L3MBTL3"	"L3MBTL3"	0.826518428391824	-0.826518428391824	"S01"	0.826518428391824	"IS01"
"LPIN2"	"LPIN2"	0.824998380211687	-0.824998380211687	"S01"	0.824998380211687	"IS01"
"KBTBD8"	"KBTBD8"	0.819342941776776	-0.819342941776776	"S01"	0.819342941776776	"IS01"
"SNX29"	"SNX29"	0.817993860590339	-0.817993860590339	"S01"	0.817993860590339	"IS01"
"DGUOK"	"DGUOK"	0.817604476764084	-0.817604476764084	"S01"	0.817604476764084	"IS01"
"FBXO21"	"FBXO21"	0.817264244713254	-0.817264244713254	"S01"	0.817264244713254	"IS01"
"RPS12"	"RPS12"	0.81470975974091	-0.81470975974091	"S01"	0.81470975974091	"IS01"
"SDK2"	"SDK2"	0.814003049758857	-0.814003049758857	"S01"	0.814003049758857	"IS01"
"RPS23"	"RPS23"	0.81237532028211	-0.81237532028211	"S01"	0.81237532028211	"IS01"
"CD24"	"CD24"	0.811516344278282	-0.811516344278282	"S01"	0.811516344278282	"IS01"
"LYL1"	"LYL1"	0.810892000418906	-0.810892000418906	"S01"	0.810892000418906	"IS01"
"SLC29A2"	"SLC29A2"	0.807625445901046	-0.807625445901046	"S01"	0.807625445901046	"IS01"
"EIF2AK3"	"EIF2AK3"	0.807136463336664	-0.807136463336664	"S01"	0.807136463336664	"IS01"
"PIP5K1B"	"PIP5K1B"	0.806526815722542	-0.806526815722542	"S01"	0.806526815722542	"IS01"
"PFDN5"	"PFDN5"	0.800857981426111	-0.800857981426111	"S01"	0.800857981426111	"IS01"
"IL4R"	"IL4R"	0.799719505416189	-0.799719505416189	"S01"	0.799719505416189	"IS01"
"SFI1"	"SFI1"	0.799502392218068	-0.799502392218068	"S01"	0.799502392218068	"IS01"
"DHRS13"	"DHRS13"	0.797628966849355	-0.797628966849355	"S01"	0.797628966849355	"IS01"
"RPS18"	"RPS18"	0.796550732323242	-0.796550732323242	"S01"	0.796550732323242	"IS01"
"SLC26A7"	"SLC26A7"	0.79453125236618	-0.79453125236618	"S01"	0.79453125236618	"IS01"
"ZNF675"	"ZNF675"	0.794212700096136	-0.794212700096136	"S01"	0.794212700096136	"IS01"
"RPL31"	"RPL31"	0.79304019366472	-0.79304019366472	"S01"	0.79304019366472	"IS01"
"SFMBT1"	"SFMBT1"	0.78987605745726	-0.78987605745726	"S01"	0.78987605745726	"IS01"
"POLR1C"	"POLR1C"	0.788322569062336	-0.788322569062336	"S01"	0.788322569062336	"IS01"
"CHI3L2"	"CHI3L2"	0.78827602353636	-0.78827602353636	"S01"	0.78827602353636	"IS01"
"CDK14"	"CDK14"	0.785069779626966	-0.785069779626966	"S01"	0.785069779626966	"IS01"
"ACY3"	"ACY3"	0.784608213839386	-0.784608213839386	"S01"	0.784608213839386	"IS01"
"CHCHD6"	"CHCHD6"	0.78298682042883	-0.78298682042883	"S01"	0.78298682042883	"IS01"
"PPAN"	"PPAN"	0.782811146685665	-0.782811146685665	"S01"	0.782811146685665	"IS01"
"RNF126"	"RNF126"	0.782794116714046	-0.782794116714046	"S01"	0.782794116714046	"IS01"
"LHPP"	"LHPP"	0.78192871744404	-0.78192871744404	"S01"	0.78192871744404	"IS01"
"RHOH"	"RHOH"	0.781906337929448	-0.781906337929448	"S01"	0.781906337929448	"IS01"
"RPL29"	"RPL29"	0.781864640829373	-0.781864640829373	"S01"	0.781864640829373	"IS01"
"RUBCN"	"RUBCN"	0.779281175142159	-0.779281175142159	"S01"	0.779281175142159	"IS01"
"TMPO"	"TMPO"	0.779046487358415	-0.779046487358415	"S01"	0.779046487358415	"IS01"
"TFB2M"	"TFB2M"	0.777940065097604	-0.777940065097604	"S01"	0.777940065097604	"IS01"
"HIST1H1C"	"HIST1H1C"	0.774592894812433	-0.774592894812433	"S01"	0.774592894812433	"IS01"
"CERS4"	"CERS4"	0.773844633510657	-0.773844633510657	"S01"	0.773844633510657	"IS01"
"RPL13"	"RPL13"	0.772407628734408	-0.772407628734408	"S01"	0.772407628734408	"IS01"
"RPS8"	"RPS8"	0.771115898059777	-0.771115898059777	"S01"	0.771115898059777	"IS01"
"DGKD"	"DGKD"	0.767990979796931	-0.767990979796931	"S01"	0.767990979796931	"IS01"
"RPS16"	"RPS16"	0.767397037759247	-0.767397037759247	"S01"	0.767397037759247	"IS01"
"PLEKHG7"	"PLEKHG7"	0.76650871638649	-0.76650871638649	"S01"	0.76650871638649	"IS01"
"EDF1"	"EDF1"	0.76596272436538	-0.76596272436538	"S01"	0.76596272436538	"IS01"
"ASB8"	"ASB8"	0.764379220271744	-0.764379220271744	"S01"	0.764379220271744	"IS01"
"C1orf228"	"C1orf228"	0.762505936082862	-0.762505936082862	"S01"	0.762505936082862	"IS01"
"DET1"	"DET1"	0.760911539542712	-0.760911539542712	"S01"	0.760911539542712	"IS01"
"SRSF11"	"SRSF11"	0.759753031055234	-0.759753031055234	"S01"	0.759753031055234	"IS01"
"CHD6"	"CHD6"	0.758954469594256	-0.758954469594256	"S01"	0.758954469594256	"IS01"
"TIRAP"	"TIRAP"	0.75854809874257	-0.75854809874257	"S01"	0.75854809874257	"IS01"
"MRPS31"	"MRPS31"	0.758528856400277	-0.758528856400277	"S01"	0.758528856400277	"IS01"
"PLAG1"	"PLAG1"	0.756094609928794	-0.756094609928794	"S01"	0.756094609928794	"IS01"
"DNAH8"	"DNAH8"	0.755382825708763	-0.755382825708763	"S01"	0.755382825708763	"IS01"
"NSMCE1"	"NSMCE1"	0.75364748650366	-0.75364748650366	"S01"	0.75364748650366	"IS01"
"CLCF1"	"CLCF1"	0.753281466897106	-0.753281466897106	"S01"	0.753281466897106	"IS01"
"TERF2"	"TERF2"	0.751661922717474	-0.751661922717474	"S01"	0.751661922717474	"IS01"
"SERPINB9"	"SERPINB9"	0.751005858261952	-0.751005858261952	"S01"	0.751005858261952	"IS01"
"RASSF7"	"RASSF7"	0.750786558796819	-0.750786558796819	"S01"	0.750786558796819	"IS01"
"GPS2"	"GPS2"	0.750017842371597	-0.750017842371597	"S01"	0.750017842371597	"IS01"
"STX16.NPEPL1"	"STX16.NPEPL1"	0.749009344251101	-0.749009344251101	"S01"	0.749009344251101	"IS01"
"RPL7"	"RPL7"	0.747104067846061	-0.747104067846061	"S01"	0.747104067846061	"IS01"
"SLC25A2"	"SLC25A2"	0.743150307099113	-0.743150307099113	"S01"	0.743150307099113	"IS01"
"IL23A"	"IL23A"	0.742298185877829	-0.742298185877829	"S01"	0.742298185877829	"IS01"
"ADD2"	"ADD2"	0.742050792476068	-0.742050792476068	"S01"	0.742050792476068	"IS01"
"EBAG9"	"EBAG9"	0.741897785049093	-0.741897785049093	"S01"	0.741897785049093	"IS01"
"CLPTM1"	"CLPTM1"	0.740656749790013	-0.740656749790013	"S01"	0.740656749790013	"IS01"
"PNMA3"	"PNMA3"	0.740258843360914	-0.740258843360914	"S01"	0.740258843360914	"IS01"
"CDH3"	"CDH3"	0.739215705062217	-0.739215705062217	"S01"	0.739215705062217	"IS01"
"MRPS18A"	"MRPS18A"	0.736977644932439	-0.736977644932439	"S01"	0.736977644932439	"IS01"
"SERHL2"	"SERHL2"	0.734631173873958	-0.734631173873958	"S01"	0.734631173873958	"IS01"
"SIPA1L3"	"SIPA1L3"	0.733818330467356	-0.733818330467356	"S01"	0.733818330467356	"IS01"
"FCRL3"	"FCRL3"	0.732902463597178	-0.732902463597178	"S01"	0.732902463597178	"IS01"
"SDCCAG3"	"SDCCAG3"	0.729535205408482	-0.729535205408482	"S01"	0.729535205408482	"IS01"
"POLD4"	"POLD4"	0.728622103408246	-0.728622103408246	"S01"	0.728622103408246	"IS01"
"RNF43"	"RNF43"	0.726952623396943	-0.726952623396943	"S01"	0.726952623396943	"IS01"
