NAME	B_preGC	HRS	T_CD8	B_Memory	Plasma	DC_Conventional	T_gd	T_Treg	B_GC	T_MKI67	NK	T_CD4	DC_Plasmacytoid	Macrophage	ILC	CAF
A4GALT	14.53321541691035002	3.13593441280251994	1.94332898802176457	18.13362445848845894	19.97701436417488097	2.75282324882032903	7.36408555444898294	1.00000000000000000	563.54973343377946549	3.32575844281906186	12.00807340008428703	1.00000000000000000	15.04078543058207451	2.04974340345744466	67.00966545448203249	422.65835418756211084
ABCB9	14.24524618684350052	8.81719003678135316	9.71029325652208541	11.36982598777464304	80.84733586151247664	8.86761928188189685	32.30576459993586269	21.37012858088248990	16.20653163637335936	17.87359106167991740	11.14238051982825795	24.99719307246682476	3.29801513782547273	8.23207239140419844	9.47192610499585896	178.49428480476362324
ABCC9	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.36953892727496163	1.00000000000000000	1.00000000000000000	65.37852069693722967
ABCD2	8.62903088758730163	64.15288043466412660	239.29794084839664947	25.95109181626257921	27.77256858448194876	48.55070248675902889	63.87948842931767501	214.27026485023208124	4.24385565181210200	108.20320802589549203	14.42318365480871378	179.98922467757532218	76.60674582380380571	3.73424645682691780	7.69327053845272957	34.83759094405362333
ABHD17C	7.48341570088521202	270.81827927809212042	96.43336441114081481	5.71265130359554441	4.74989573452930003	52.06127534048115990	35.52357039548509476	13.29262931961362781	5.94428874369310822	60.25394362193949149	8.32436992268827147	13.48300148439315471	25.03821994971354314	30.15240383393618373	11.61546417725606339	245.27299305926280226
ABI3BP	2.76598344242133454	3.79156310241494765	1.52233668068446715	2.78126423161546610	11.04037179992608664	5.90856026317270810	1.00000000000000000	1.00000000000000000	1.14999132611623334	2.70593471142625219	3.35433547825371647	1.79942041059252378	4.67581650552210437	7.39434913447897557	1.00000000000000000	3639.80558640496883527
ABTB2	4.33731857569731449	14.39199224549948930	2.35682497169075145	3.63309603948776871	8.75688240392872075	26.05325237008893424	9.67010323580069375	5.76691679206546848	22.36382652965186324	4.34528090294679092	5.43442888319638318	6.06330618251622777	38.53585841450231442	1.47795818985710992	57.57402306095476519	210.26159988615063412
AC002454.1	1.74628086140691074	243.98713110017527583	3.17813942173370867	1.00000000000000000	1.12497246246690086	3.81901032917813676	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.32333900140609462	1.00000000000000000	1.43316654678937860	8.20312882903595408	1.34594818200026944	1.00000000000000000	1.00000000000000000
AC003092.1	2.30677177394280752	315.28891648745047860	1.00000000000000000	1.00000000000000000	1.52514157344394663	3.55827796141363617	1.00000000000000000	1.00000000000000000	13.04815823292768151	1.27050163665323668	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
AC004160.1	1.00000000000000000	377.91334485751468719	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.42671756484028833	1.30712054388828980	1.00000000000000000	1.00000000000000000	1.47733039762603058	1.00000000000000000	1.00000000000000000	1.00000000000000000
