"cHL02"	"cHL09"	"cHL108"	"cHL11"	"cHL116"	"cHL12"	"cHL19"	"cHL21"	"cHL22"	"cHL32"	"cHL33"	"cHL39"	"cHL48"	"cHL49"	"cHL54"	"cHL57"	"cHL58"	"cHL59"	"cHL63"	"cHL65"	"cHL70"	"cHL71"	"HL001"	"HL003"	"HL007"	"HL010"	"HL014"	"HL022"	"HL080"	"HL145"	"HL146"	"HL150"	"HL364"	"HL393"	"HL400"	"HL419"	"cHL136"	"cHL138"	"cHL149"	"cHL150"	"cHL153"	"cHL154"	"cHL155"	"cHL157"	"cHL160"	"cHL164"	"cHL167"	"cHL169"	"cHL175"	"cHL01"	"cHL03"	"cHL07"	"cHL08"	"cHL100"	"cHL101"	"cHL102"	"cHL103"	"cHL104"	"cHL107"	"cHL109"	"cHL110"	"cHL111"	"cHL113"	"cHL114"	"cHL117"	"cHL118"	"cHL120"	"cHL121"	"cHL122"	"cHL123"	"cHL14"	"cHL16"	"cHL26"	"cHL42"	"cHL47"	"cHL55"	"cHL60"	"cHL64"	"cHL68"	"cHL74"	"cHL77"	"cHL79"	"cHL86"	"cHL89"	"cHL90"	"cHL92"	"cHL93"	"cHL94"	"cHL95"	"HL021"	"HL353"	"HL356"	"HL357"	"HL360"	"HL367"	"HL368"	"HL370"	"HL376"	"HL378"	"HL382"	"HL387"	"HL398"	"cHL124"
"AKNA"	1.0230159156656	0.65845295656194	1.20395339357655	0.7724156416204	1.32626654872989	0.714149261266145	1.02486504177783	0.850492979098183	1.23409427903557	1.28047199255117	-0.495437265647914	1.22869955421545	1.22702150990117	0.830622750982938	0.636409522058208	-0.622607333296133	-0.802635663075538	-0.852773696975713	1.64358085959512	1.5610484977498	0.748609680283534	-0.538577678219323	1.30455222053391	1.15609683497351	1.07806361642269	1.10612609835948	0.426657058104153	1.46112600668148	0.615476070337007	1.30088056014284	0.696680247638452	0.804993515537337	0.582702728422362	1.32357928388982	1.35596146711401	0.735384239633241	-0.0350135100040868	-0.689607152930891	0.404067778714846	1.04223133374915	1.36080610578157	1.38095613420848	1.36565768383516	1.27039458016276	1.15850324329825	0.814277090286695	0.772504123615347	0.939224173399873	-0.343612831250452	0.387382131346129	-0.946025014733821	-0.548156168884644	0.814825243302326	-1.16067654584034	0.945784279033293	-0.747602009305476	-0.386774733113448	0.824626178361616	0.262099881671908	0.701436667819406	-0.603704452831332	1.60113413914515	0.36807417011737	0.862687221391689	0.282278321826207	0.812289251861473	1.13335116036476	0.949914734523819	1.25089430508574	0.403259757156907	0.325804949786703	-0.634933613785517	0.456680882575944	0.0758565454861694	0.232901107412751	0.691840121510785	0.81981217917467	1.30856891417761	0.865689503996399	1.21570264548888	-0.730392277444818	0.500149216644921	-0.855078506581855	1.4810334889024	-0.765543958642159	0.656327363163828	0.200319177729212	-1.53637859452276	-1.15796997483143	0.579653796944052	-0.141861318327338	-0.437414123581843	-0.71296945135851	1.52323399151777	0.0616856541002911	0.242412766862186	-0.979404356499084	-1.13794176177097	-0.500730393707307	-0.348412646043615	-0.109603970357718	-1.33560657287968	1.4674863563546
"ZNF76"	1.08701229653837	1.19951125843899	-0.777902316740023	0.303871871052367	1.31582515504257	-0.823128831356207	-0.1707968170708	0.351881190542342	0.525102064326787	-0.0849984400367109	1.18254467009654	1.30394404670807	1.48190429311339	1.37541861364126	1.09336669335922	-1.07331086161747	0.304182299390581	0.222895718534139	1.3827349877255	1.24702654101952	0.210192559835086	0.3893788994925	1.4291917719381	0.668239165875803	1.20597015806506	0.247959516846287	1.12776866948697	1.46430195487064	0.769785477948563	1.11604771983657	0.13940671567499	1.29911422370175	-0.0817834092588439	1.4979705951468	0.0600414781269566	1.27599607816738	1.07938258563896	1.2105894973309	0.736151656102373	1.20883272378981	1.27008113172443	1.18873130082997	1.11567079683078	1.37608967239688	1.2137651545265	1.3627272741553	0.788742073497826	0.665852390549593	0.370199482483794	0.654326996794599	0.563040158678259	0.13112707597359	0.376828818184468	-1.18683158224827	1.41957547389366	-0.781780480423635	1.16341927648295	-1.44283897182033	-0.929792809615116	1.20232831673136	-1.4954741536682	1.26944148344438	1.20356427855553	-1.28003475813487	0.305157024930699	0.452518718619012	1.29746657633154	-0.799780584506214	0.615442760277064	-0.880998598186265	1.42611427995067	0.0166769493411565	-0.316036664651666	0.197042968827394	1.32544504717201	0.167922432365874	0.762140258486497	0.41466425145012	1.18553211830694	-0.805420025919392	1.48143953490386	-1.0859353046624	-1.30284062641746	-0.965553569199494	-1.27101203869338	-0.798060775854674	-0.841134485312507	-1.46236055962808	-1.5401962190846	1.38719801636274	-0.789737067520581	-1.10496878182274	-0.956559731714783	-0.775126645224988	-0.0342098484957446	-1.12465169432109	-1.1560442275761	1.40882819424328	-0.802759621722636	-0.840518731718867	-0.428761819975121	-0.822734584550962	1.26026364154463
"NDE1"	1.2920750713456	0.570708834251077	1.22726056397373	1.22180513617805	1.19288698224957	0.703944855168733	0.348301455588533	1.49907301734988	1.33487607379671	0.266686604904907	1.25574684072108	1.24292597417195	0.451279000491274	1.22653427376514	0.752587370314747	0.565643716438787	1.52338939749935	-1.34100576914265	0.630609277730392	1.38252249743557	1.23127300733543	1.32624246695854	0.778687891775655	1.21970400835629	1.36245715298127	1.30911261754154	-0.392671945518086	-0.348157292226327	-0.0211311488780056	1.29411820557787	-0.931270494484158	0.0624268505397345	1.38772458903299	1.16182568385429	1.20820955328187	1.27512193081068	-0.125310130896399	0.467113186575468	-0.480433124967079	1.30506465844001	1.19219422123047	-0.0186676529371436	1.3197518920106	0.270724460652926	0.624179932024542	-0.590406193432456	0.0752266342717818	1.36252920729268	1.22829290698223	-0.153515240328944	0.267714070444247	0.15782138124832	0.487156591982044	-1.02062804565226	-0.332166608439741	0.0609803172084934	0.23141905970693	-0.164071406673751	1.36125497662969	1.33399136227363	0.894668306517425	0.106175478941132	0.481692033413443	-0.608779473365913	1.23015433304153	-0.402432583262321	-1.07777270412996	-0.630555798014589	1.27608785257843	-1.13748554351228	0.15058083757261	-0.455107050560697	-0.140259365231145	1.16492507190161	0.907383551297562	-0.264070107982236	0.372327335772706	0.357820645044247	-0.2710118763207	1.16389875177309	1.16663742759493	-1.2074330025459	1.20724255423249	-0.444850336118944	-1.15508088907791	1.27796139713962	-0.203390039444345	1.33959437248119	1.27866885276743	-0.912835115349138	-1.22912475051704	-1.07723036221083	-1.06758000886107	-1.10690580267328	0.0235895498005065	-0.519698809612979	-1.1216683695717	-0.265480396494981	-0.543185208252194	-0.999161407750787	0.740793083480553	-1.35189164925553	1.21630589988046
"RINL"	0.358176344938075	-0.229967666960402	0.462311104351817	0.218186293274342	1.45749988813399	1.09943175344118	1.29464797217818	1.3675912053281	1.33028600680552	0.58962843699678	0.674668124052198	-0.0830906041251923	0.422982402025406	1.35586810398557	-0.106993394165999	-0.582673351974063	-0.296794259899435	0.540643686369428	1.27565396131374	1.26360618908739	1.20584338219639	0.409782382376498	0.207515064405267	1.15103409878415	1.29073089667748	-0.180771693326717	1.32880566338435	1.17176639122031	0.108953883717096	1.22173495503226	1.11929025600569	0.389684097835529	1.27986772155797	1.20531157099031	1.24849624261362	1.1422545849855	-0.446951289932874	-0.982777298854964	0.427245475886478	1.27857953327892	1.36555501432221	1.42136184230017	1.19145250220377	1.36397172461327	0.77281874541936	1.31870732726909	1.17799994864768	-1.15992361312946	0.129003261920628	0.290272545625734	1.12485151684991	-0.953881126574046	0.807278550470998	-0.99928667011223	1.28619103444077	-0.724060363749747	0.427922195067432	-1.03300764125642	-0.948273764196714	-0.282981820848339	-1.28723184917784	-0.0643296403415566	-0.335757719703621	1.44234260254735	0.248206755305762	1.27018869474397	1.28438242671418	-0.966093596466594	-0.817527965017367	1.29818788837996	-0.915352054751561	0.266212489321728	1.21472584423944	-0.591292522916613	0.499455418448269	-0.295636195093916	-0.0049325769504454	1.31458284557542	0.282394528497155	0.319165984693522	-1.11468472133754	-1.27491734845063	-1.41657719118392	-1.06267094163616	1.8157000691362	-1.32741493745018	-0.322827639743684	1.18199550813655	-0.578379944085119	1.29413866584028	-0.541430731657283	1.20829452036964	-0.739322444091562	-0.477693544699996	0.223567613456844	1.15000587972953	-0.909961257657184	1.22118457325929	0.51120594196978	0.873243820993202	-0.314734207573775	1.24255395016021	-0.131334307895879
"SUN2"	0.967147175033748	0.527410037910107	1.00268616656843	1.23387758936789	1.20495606784557	1.18405527594747	1.2534073269396	1.23408023133604	1.22184089214342	0.509231352717079	0.401136465892486	-0.277094852826639	0.662761986876099	1.17779052032434	-0.32768469770234	0.426499388460358	1.10848559592348	-0.187645564154745	1.22328776469846	1.06334375634302	1.12397282268044	-0.0625072620708223	1.20054974337002	0.448011121386031	1.14091650635452	-0.329180636975511	-0.398389084713069	1.29622611965446	-0.64611042491396	1.37079584327676	0.609382999176859	0.619757056992693	0.390125973406863	1.16618714957673	1.17484272907158	1.0068126617291	-0.704435955067048	0.524115565632977	0.32342043323189	1.14363833412304	1.17561941317	0.876586885058879	1.2806199321369	1.14952904256196	0.389044492163197	0.458654488951544	-0.39253792079977	0.771078254405095	0.980758706560077	0.59173331987674	-0.441674195570617	0.686668608900384	0.6443510357374	-0.886123204193483	1.20592913283859	0.531058169828039	1.1391283348936	0.252478359537346	0.705078129392499	0.386197085044694	-0.846703180828441	1.13181929252488	-1.41296672922758	0.609440454315422	-0.293859742843587	0.667955353349994	0.380743348375776	-1.44812668142357	1.00911663038412	1.2375077530408	-0.409628131299307	-0.805741105264489	1.09094168327578	-0.311972066416578	-0.287843740451679	-0.752606883655036	-0.692885255251627	0.991852222151308	-0.37301413734079	-1.36974899728495	-1.4002351965499	-1.06821797048085	0.398560941535311	1.14256621838115	-1.44647484823055	1.00028664571815	1.20159147355105	1.27095051550204	0.342706312017309	-1.60548902892261	0.534859740464805	-1.34710852735215	-1.35678246778097	1.07245417681082	-0.71656232977149	-0.766789312851472	-1.39525565712739	-1.45572117545166	-0.643729549822585	-0.621684051970011	1.22942112187374	0.542840219773559	0.609483099328004
"ZAP70"	0.327403079502108	0.526523096661308	1.6275388166686	0.852980222250562	1.56028373242682	-1.00034674853483	1.09025918163485	1.55694885873197	1.56141640954324	0.664623269592517	-0.3064293419579	0.579470308325714	-0.272721346819313	1.03086762695432	-1.10669777202561	1.0956422727038	-0.269056902217736	0.78412797282746	0.980322053172176	2.03549072131221	0.43038122618162	1.14553729131468	1.6703527391684	0.600268085701072	0.997041637925282	-0.431862362538337	0.218302581133834	0.377685220432607	1.06632877044179	1.53167468216988	0.996808452259852	-0.743886931795501	0.462756933749838	1.11846393974567	1.20490862299697	0.698102939802426	-0.637065693760845	-0.710284122408423	0.331022055151111	1.63035153984175	1.17933135898212	1.73703379410968	1.70028923096043	1.64309278937772	0.899274054610978	-1.01581232228257	-0.87018449059557	-0.505258893801715	1.62386616382479	0.916224401507528	-0.951235473825681	-0.362965616624891	-1.18314688283867	0.626183012029743	0.955549274161203	-0.873969145319222	-0.990773950379155	-0.999188192435247	-1.25738373118757	1.09209639874532	-0.456774806347303	0.992692564943599	-0.839966266218164	-0.843000501940311	-0.978767583472781	-0.992290504313946	0.391283686213142	-0.312163207098394	0.532018114464555	-0.932002593733064	-0.716390915122256	0.914583791408818	1.21340648740126	-0.440710561814026	-1.15447751176566	0.677680499051031	-0.326550406798168	1.65243748440102	-1.04392691256896	-0.577939276310037	-0.926432225302282	1.17387056134773	-0.42902437226072	1.64306869386151	-0.855888568050088	1.36754109186339	0.917668606738122	1.0376166312822	1.64887203109515	1.08187880789168	-0.868824384969201	-0.805017952105707	-0.84834582315556	0.554052809219907	0.969545003928532	-0.649560674187915	-1.04414110215012	-0.477905117167218	-0.229421392879682	-0.778983775315872	1.00057607324448	1.57680899795238	1.23620155653011
"ZRSR2"	1.65021109479738	1.50011664809478	1.44312613784541	-0.51251314901325	0.929258609334063	1.51634050206455	-0.774936790744558	-0.478635145747955	0.878450266855106	-0.474713540305572	-1.57230379145606	0.126135756183847	-0.230164150217462	1.48396872862811	-0.603195137546938	0.939703572709664	-0.608810087293832	-0.182072227868954	0.920121083217067	1.74588530432904	-0.141407696308169	-0.303250102131608	0.762337520500249	0.844525804512001	1.4428425134971	-0.425632382348293	0.85023685294224	1.46311715876804	0.620644631473657	1.68515746553142	0.968600603752189	1.40338041162499	-0.869630823813214	-0.613720752695166	-0.470547127394895	1.78274568842527	1.33045843281866	1.15178268710173	1.38542164355666	1.60486979434163	1.65936006906786	1.70448471694161	1.49487388395543	1.61368918680947	1.84730003340446	1.32342652397636	1.48758996240503	-0.872011927535113	-0.765406187127937	1.23833903452278	-0.545355583676236	-0.636939162572044	-0.783060523717315	-0.915085378184941	0.858222638205802	-0.720064473853714	0.20309803338163	-0.336402467757803	-1.07585622215312	0.640697348446355	0.765239711052834	-0.968112927569738	-0.420293282835797	0.824960773866845	0.545571177518102	0.217031685510841	-0.936893201823527	0.946635055696043	0.171488865516402	-0.821751154378644	-0.0162066062838817	-0.38019509381737	-0.330281895927491	0.660022186260781	-0.689080450563832	-1.01195393552653	-0.797890371055215	-0.360802983614853	0.728483539308808	-0.646122462942915	-1.4768735245701	1.84354327046857	-1.04150690405438	-1.24034020906709	-0.320534509572173	-0.405054661828124	-1.49597023814658	-0.7977260288057	-0.0732482703366956	-0.614472265015612	-0.0389326287395787	-0.854122981191728	1.25972676715477	-0.73592805201889	-0.665099719335206	0.992233782033274	-0.0478870594993556	-1.45683314743772	-0.374090133660233	-0.726565296366216	-0.334951261235577	-1.23702560133188	1.14162049886006
"ZNF821"	1.16607223981818	0.678216062749309	1.18475070445997	0.289063399073243	1.17957314149716	1.15973633843576	-0.285769510448587	0.248144817670756	0.260542089111759	1.1527646586875	-0.643474024743232	0.0811043718067026	0.325799627927707	1.15189852786464	0.115899940716033	0.504383838965728	1.16399797108902	0.632634968855212	1.2566059036995	1.15266748371213	0.255342245315306	0.129835703354954	0.3989454970932	0.600765618774194	1.19926101359281	0.456394213943115	1.17493728763095	0.513393546376199	1.16392608217965	0.613407094431877	1.18984318197596	0.649180533772071	-0.985578637686941	1.17454934055763	0.0752945940721672	1.2153734558671	0.513969151292354	1.15881501402153	0.0480930524699121	1.17809475146562	-1.06531098329931	1.20731062537812	1.17049042560714	1.23059281728168	1.14959312846965	0.0606586694528303	1.20064330505901	1.27162501268923	-0.477507562887885	0.00643644907202179	1.14244003038246	1.16414739226742	1.14414842747347	-0.702023613253019	0.0469249218335398	0.407527038123175	1.15290164336183	0.11541431114147	1.26474592728137	-0.483981725336815	-1.85881383570473	-0.97951357117035	1.20346421024468	1.24278071044047	-0.107225754142278	-1.16854171284493	0.593794592963128	-0.852419623399362	-1.05058021910701	-0.816162880808925	-0.978401296186843	0.735996868717446	0.316034589570483	0.386303477441988	0.739916121600418	0.226903116464729	1.15799668732303	-0.297247531714498	-0.00251079826651162	-0.954342833520415	-0.91555755309049	-2.01650719614102	-2.24289707628529	1.23908226885759	-1.73914609805666	0.363177396297984	-0.828888040768369	0.430120392570014	-1.27963119614118	-1.0883139237308	-0.535459235633902	1.1614869529394	0.22284571022638	-0.447082327958701	0.051073891910089	0.159817255179453	-1.4580709218638	-0.95691710443308	1.14182118498606	1.26459598007162	1.23998101042824	1.24603513670297	-1.13759246087997
"LIME1"	0.247201944075863	0.601464835191186	0.885102308776191	0.650637118434575	1.01761691815142	0.552602331931668	0.608397252417606	1.02352455309669	0.657081253596456	0.381495872399564	0.87246773995363	0.152110409880464	0.409389910470781	1.01552383215781	0.545352824466537	0.998744742269947	0.889905447162119	-0.0158567053966852	0.952390626057493	1.13409469528189	0.618372949381125	0.903617979552656	0.985666207664943	0.614642835495779	0.124045133756074	0.154641940293152	0.881854861603374	0.613143804329687	0.825374122910716	1.02843923329911	1.02061794642558	-0.132458292166992	0.983062797030188	0.761697906458039	0.870391956802531	0.730789054277819	-0.298398394311993	-0.0586139354287081	0.0410701633477639	0.867243518321535	0.896943017246492	1.0435413835417	0.293700543051549	0.843939055684586	0.0673634539508163	1.02084113819437	-0.0757368342352477	0.918601531072636	1.01037369032564	-0.0452048360841799	-1.73138650875503	-0.497156520231529	0.690191542968782	-1.73138650875503	1.07970664565279	0.187636124217102	1.05075495626502	1.00633981925931	-0.188375350783841	0.683349713343925	0.727275151611452	1.06612126442134	0.0100145347227228	-1.73138650875503	0.938508194235112	0.926976813735254	1.00647938489818	0.991686424872672	0.525158693076025	-1.73138650875503	-1.73138650875503	-0.165265156364139	0.324204743182883	-0.0617612037325704	-0.493768237510996	-0.804331090260776	0.224693420612743	0.600554111255478	0.235119917048499	-1.73138650875503	-1.73138650875503	-1.73138650875503	-1.73138650875503	1.0408830211434	1.09074136628228	0.946031268996064	0.911270139361533	-1.73138650875503	0.86715483398915	0.10610989376245	0.588933005647709	0.121605298621789	-1.73138650875503	0.658984600164438	0.055238747479932	-0.283875847317658	-0.564285169314251	-0.375613480172123	0.360828955304673	1.02095464370534	-1.73138650875503	-1.73138650875503	-1.73138650875503
"IRF3"	0.235946468330695	0.836567017706747	1.73915499467964	1.34184397731101	1.72292557828153	-0.779578662337452	0.936985457874216	0.308484284095222	1.33261997308627	1.24763378458632	-1.19654207349913	0.927445846289231	0.9628818116195	1.82966741332867	0.398632898271076	-0.65239953160311	0.878755942550083	-0.945601074626984	1.0604484142784	1.57923246799158	1.28506868223633	1.46376108358823	0.966617350112111	0.894021710528094	1.84872188596677	-1.11733372094279	-0.581323636577605	-0.491565889399184	-0.462676450983559	1.27973806054883	-0.871584455835713	-0.745973895818995	0.714748540112794	1.41760125873373	1.40541394490273	0.408200446001036	-0.599688081081303	-0.71060419485873	0.919943001265232	1.55695396189085	1.42284165327689	1.75351569667637	1.84851210435563	1.60978083914715	0.972374519201683	-0.321771046118017	-0.915228096147009	1.00637492649195	0.136732689607812	-0.58604381288775	-0.53904609686373	-0.316511142609041	-0.343084030268865	-0.8754972784599	1.00309703734413	-0.0172263188055058	0.907124461534932	1.69056452300583	-0.790854297804392	-0.259410008884502	-0.376865133832654	1.49916377515619	0.383866851206127	1.55126856503566	1.36179904464252	-0.264066748047734	0.121542523357098	0.0701042119503665	1.33893427662961	-0.704181427551466	-0.935568782733817	-0.807212627117541	-1.04833201603968	-0.0564856996938959	-0.531565131927971	-0.795155890160131	-0.432341187862818	0.925910586841903	0.16528021438284	-0.846360343412534	1.75937708021344	-1.28561340138213	1.01018623239504	1.51169884966145	0.964658882931483	-1.18525993558441	1.03824643104766	-0.756055202568113	2.012201147138	-1.44848672885948	-0.955506578156299	-0.741748919308323	-1.3863532197005	-0.741535135298909	-1.36181731405044	-0.372941484655777	-0.662275252799576	-0.977117069384387	-1.1299002130605	-0.516170281731299	-0.337780894933514	-1.42659238479737	1.41454178934087
