"cHL04"	"cHL05"	"cHL11"	"cHL17"	"cHL29"	"cHL31"	"cHL32"	"cHL35"	"cHL41"	"cHL42"	"cHL46"	"cHL52"	"cHL53"	"cHL56"	"cHL62"	"cHL69"	"cHL72"	"cHL74"	"HL002"	"HL004"	"HL006"	"HL009"	"HL031"	"HL032"	"HL150"	"HL356"	"HL359"	"HL363"	"HL382"	"HL383"	"HL417"	"HL419"	"cHL136"	"cHL144"	"cHL146"	"cHL156"	"cHL158"	"cHL166"	"cHL06"	"cHL10"	"cHL102"	"cHL103"	"cHL104"	"cHL15"	"cHL21"	"cHL23"	"cHL33"	"cHL36"	"cHL39"	"cHL40"	"cHL49"	"cHL54"	"cHL57"	"cHL58"	"cHL63"	"cHL64"	"cHL67"	"cHL70"	"cHL71"	"HL003"	"HL013"	"HL347"	"HL387"	"HL391"	"HL393"	"cHL137"	"cHL147"	"cHL148"	"cHL149"	"cHL151"	"cHL154"	"cHL155"	"cHL159"	"cHL162"	"cHL165"	"cHL168"	"cHL169"	"cHL170"	"cHL174"	"cHL175"	"cHL177"	"cHL01"	"cHL02"	"cHL03"	"cHL07"	"cHL08"	"cHL09"	"cHL100"	"cHL101"	"cHL107"	"cHL109"	"cHL113"	"cHL118"	"cHL12"	"cHL122"	"cHL13"	"cHL14"	"cHL16"	"cHL19"	"cHL22"	"cHL26"	"cHL43"	"cHL47"	"cHL48"	"cHL55"	"cHL59"	"cHL60"	"cHL61"	"cHL68"	"HL001"	"HL005"	"HL010"	"HL014"	"HL015"	"HL021"	"HL022"	"HL079"	"HL080"	"HL145"	"HL146"	"HL357"	"HL364"	"HL367"	"HL368"	"HL370"	"HL376"	"HL378"	"HL400"	"cHL124"	"cHL138"	"cHL139"	"cHL157"	"cHL160"	"cHL164"	"cHL167"	"cHL172"	"cHL176"	"cHL178"
"ITGB1"	1.38993292376091	1.26368425701209	1.12822898174027	1.38153181049675	1.26085482020951	1.75398406971516	0.353523900830076	1.27757835338527	1.29326698723055	1.18768512965694	1.12969108948872	1.10031133398331	1.27696247658009	1.30466947117394	1.30744399177384	1.25893391963363	0.469626549354695	0.125351226077794	1.38352928051804	0.913158936519722	1.1966221825501	0.831132528443178	1.42207040866347	1.04022171645553	1.1077055589367	-1.51508032719744	1.22284699234532	1.1103287679815	1.22766639428019	1.18126422009367	1.25350454750007	0.196472358644487	1.33843442309926	1.31969413582063	1.30496865598444	0.289221183608089	1.32414528056452	1.3243562446216	1.47206912109937	0.51605963118385	-0.0667734758141466	-0.858915451025065	-0.196092490809288	1.02795814002335	1.16695103642451	-1.34438356783058	-0.136761883860414	1.11815963597622	0.890507862308011	-0.48105692989566	1.20608116520983	1.17744976504288	1.20599668110271	1.08609467089777	-1.72296279837971	-0.367917553286741	-0.675979864514924	-0.419397122275973	-0.0208845568334165	-0.0954810599045573	-0.286166929740579	-0.300633099709848	0.293230343201976	1.26664452979145	-0.335516365501141	-0.561590257638613	1.1979758356226	1.33279434496859	0.147518985730294	0.231261322841413	-1.71112513651477	-1.66899695182849	-0.934213840128867	-1.45935774298047	-0.296469191858423	-0.899685947273211	-0.265868740467848	-1.10446487089924	0.463998350968079	-0.298859142252964	0.346086955858212	-1.46648871120731	-1.26901458759297	-0.536861677294392	0.726011614002777	-0.0529213157507355	0.36133435341449	-0.168460897365414	-0.804933255560728	-0.251969546376999	-0.279301632905488	-0.778675260034502	-0.821360543282225	-0.0460384234641738	-0.716345879515697	-0.766240458826805	0.637588743979136	1.2233262747644	0.359039910557306	1.09232759139558	0.520849508744029	0.393650498125049	-1.28701983929707	-0.0413426021761909	-0.171691863605338	1.20152286176661	0.590811006636088	0.280271530961275	0.696452007472865	0.157725192082173	0.428612398635902	0.767541395723356	-1.40642686783218	0.437636300100735	-0.123305891216356	-0.680494049116045	-1.40102900801651	1.33892693863551	-0.848813532472441	0.491378853108157	-0.784372981813687	-0.4591041559998	0.561950109319772	-0.70105355621954	-0.615437878379746	0.312024596547922	-0.34651531853112	-0.5450168921157	-1.5247105743364	1.19945740440719	0.0714151175887166	-1.19273550848398	-0.272582897364738	-0.808820009823502	-0.321634880106735	-1.04581306649997	-0.790066068655608	-1.01944153344708
"VCL"	1.16595791060487	1.3833399598655	1.25374414089256	1.31136200088446	0.288021562075393	1.68589537724739	0.523819215481491	1.27183141906818	1.25176769356186	1.22055537430461	1.25588382924737	1.41006945993531	0.649477764725605	1.22116120418088	-0.192068423588512	1.37444679282738	1.31615566210061	0.266493588755699	1.20531986606637	1.2103197623581	0.582704685139141	0.018642502420521	1.18053294041868	1.35049740213094	0.532333624404574	-1.06227048951062	1.33521421704921	1.16759119325999	0.468002115634697	1.35039656156301	0.575792234696636	0.293308204525201	1.1847725961386	1.37255045009971	1.27715260665977	1.22748085962819	1.33924125882082	1.31305232919389	1.25460853608244	0.192591994031214	-0.294305095329069	1.32513397060283	-1.11866757244604	1.25082277493358	0.714859229264358	-0.741251932824535	0.212526062281297	1.25805530759561	1.32227738841252	-0.398227167802696	1.22707980271921	1.25051017106471	1.16604315204902	1.28995968121889	-0.707472343496898	-1.15054431605047	-1.01185937379275	-0.135500021747172	0.46515346583872	-0.589901081500755	-0.270273811564383	0.155947201390537	0.598704485467778	0.606800392989554	0.347055250047588	-0.842460854607234	0.272168462739724	1.48518154367868	0.103074792629713	0.211391345007056	-1.04085518828461	-1.32680681128017	-0.103894630885877	0.509488646926204	1.22832207225648	-0.869369065144085	1.2709174892494	-0.560058988867566	-0.230023177987893	1.2641998076707	1.19260747758835	-0.60839608060741	-1.17099702967429	0.282042799340834	0.0581938533350624	-0.664508974746332	-0.0891670911681711	-1.30026638176653	-0.433475919939715	-0.923570098725101	-1.45188865613164	0.418332908052821	-0.0784152965944286	0.0616332514727024	-0.100089046594265	0.335533085963634	0.464140726099356	0.662933265297208	-1.13427736113091	0.384080545890418	-0.618099054593163	1.21063429550503	-0.487454298814337	0.0101183704484554	0.286923987335189	-1.07193404172191	0.266255694117518	-0.929723749025347	0.1134980289221	-0.425753143424179	-0.269650528126017	1.23099488487826	-1.19534626458502	-0.298073114714712	-1.1472405998998	-0.671639738946971	-1.35088833401257	-0.0511201470796636	-1.14551993820788	-0.2097154845956	-1.45810145776601	0.837770783564361	-1.24063300797593	-0.676301352783476	-1.20067540286186	-0.363989552513684	-0.178653144744897	-1.09760889864077	-1.04109425551471	0.653930449224985	-0.479446064638015	-0.782254875755093	-0.178757725269015	-0.344593753583089	-0.423312542549346	-0.0689050989179915	0.438334031797288	0.102501289568363
"SLC24A3"	0.744003754888341	1.20962354898926	1.2306084846665	0.713282547929646	1.11800306987781	1.42901025875448	0.350767465434992	1.22992255395153	1.10961323687324	1.08017594941507	1.15505279249368	1.26315699763716	1.20344755867422	1.13969498231208	0.37181031526716	1.12134495972394	0.390730510096999	-0.232423117531042	1.31966622856845	1.12676689455232	0.0542890840937217	-0.306821142840289	1.19370205761118	1.18780472505487	1.12563998903794	0.58648592746191	1.17986076012196	1.19557888130075	1.2554562165107	1.15136751185057	0.671458579316928	1.09599424807441	1.14719224268093	1.21270020377788	1.09376503104378	1.09907751622104	0.436214404552782	1.15084853095693	0.591141851676869	0.481597999633583	0.539295893606406	-0.222811422276719	0.157579922277912	1.2542123054714	1.15014776367631	-1.42357630443559	0.0486156336938125	1.13650911486298	1.14120144464834	0.0867515844911934	1.13380726821671	0.467066282302051	0.866778932291124	0.718784902569279	0.2278721808464	-1.05544259805942	-1.13189589634564	0.195605344978757	1.11048708455738	-0.865596037759132	-0.107575027294442	-0.458428929605437	-0.740674666892625	0.0685978244549505	1.099628038121	-1.42357630443559	0.730980929126178	1.2578883932597	-0.908429590971782	-0.34003069801857	0.547628724562018	-1.42357630443559	-1.42357630443559	1.31474262061607	0.187438498306486	0.141020505015641	0.660356888317006	-0.685811148636165	0.31909091593657	1.11397375265441	1.1207615626952	-1.02061433894358	-0.800650720062482	0.323691231023851	0.797154213697613	-1.05749855166316	-0.975036219998249	-1.42357630443559	0.29350919529964	-0.605147360913356	0.365527029786725	0.652704559565963	-0.946831165961238	0.190770235909319	0.756527563034679	-0.000797516439780495	0.615931136316828	1.184159418297	-0.77315607000995	1.16823237331413	-0.244697814105377	-0.980310231182215	-0.105953309879201	-0.192853044646146	0.600587513038237	-0.305684543660017	0.301311545303723	0.235182607206632	0.248577207103081	1.21116850797428	0.53516282318697	1.11633518524948	-0.667054416253166	0.298170377900486	0.364247070438024	-0.208432204176884	-0.427645141196697	-0.175520255605999	-0.0912827430354112	-0.812615561398597	-0.324805898956448	-0.26539233753043	-0.377728875931666	-1.24512209455145	-1.42357630443559	0.871198865683173	-0.0445609176784992	0.0661294016759769	-1.42357630443559	1.12088366848721	-0.456963803980368	-1.42357630443559	0.394256417164286	-1.42357630443559	-0.389605744524221	-1.01472234461927	0.507536736595525	-0.533948885295223
"SLC18A2"	1.24065966440215	1.2644872049255	1.27691591713126	0.553820759740245	0.532249899348999	1.53849590091737	1.27404440237939	1.19402610533164	1.38620112318739	1.39665461783935	1.14991335272614	1.16794799077253	1.17925575448793	1.3263546143794	1.13827147892073	1.31130720532292	1.19188802894858	0.372629106065192	1.39704648384735	0.186082667215277	1.2390993215464	0.559371035623442	1.15071326301586	1.30479397838977	1.22645312651468	0.857034999798854	1.42316391208835	0.922805970896446	1.28621197932606	1.445646743524	0.207867180054508	0.413332071276179	1.20006660453677	-0.817189918860862	1.26920529808971	0.418925533903316	0.334910824569663	-1.24442300828501	-0.0182963371803301	0.357437849298942	-1.24442300828501	1.22943768443503	1.31558785502391	1.17371568517036	1.22091395454764	-1.24442300828501	0.653892453327566	1.2115071239534	1.16723259591247	-0.0321758695532871	-0.690845541246362	1.34623982170605	1.12710897477528	0.958259419225171	0.0876019012305506	0.627988617234755	-1.11859102536208	-1.24442300828501	0.762433348943483	-0.160380601640254	-0.256164870980485	0.864747503998959	-1.24442300828501	1.18632936285406	0.360675222228347	-1.08000255664988	1.26989863998382	-0.0693724137950422	-0.686150280608885	-0.552483442970552	0.235215644735068	-1.24442300828501	-0.368510106786864	-1.24442300828501	-0.593317589507032	0.312315918545346	-0.462578010539244	-0.957741083923318	1.13638932279945	1.35205591653615	0.074236087976628	-0.764172193898908	0.0537452650462491	0.588893835359727	-0.227361953387204	-0.514206445871407	1.16318917192817	-1.24442300828501	0.157302857553004	0.514178156988948	-1.24442300828501	-0.332506847981247	0.693947319647206	0.198493556349091	-0.890435105443061	-0.0966971380858119	0.756850362996503	0.652104077638787	0.53317529891824	-0.304823625515742	1.15885427193138	-0.388101973197587	0.502762727803897	0.162449072005736	1.14919219065446	-0.534269425094267	1.14120398381402	0.0458454547869552	1.13188568504103	0.878931136899109	0.195071472437247	1.16502132315702	-0.410565721891143	1.18883200892928	-0.654631477727396	0.419759282487449	-0.0858472631193306	0.407665482228956	0.102309487618933	-0.117685231099226	-0.780327840238978	1.27844942665884	-0.606636503057767	-0.745081731636722	-1.24442300828501	-1.24442300828501	-1.24442300828501	0.268013490677334	-0.20427694091127	-0.273680444401216	1.30270949233381	-1.22178968418371	-0.412107469752726	-1.24442300828501	-0.000583754659733724	-1.24442300828501	-1.24442300828501	-1.24442300828501
"JAM3"	0.333662598490277	1.43296491569658	1.37304599699591	1.33434986657646	1.3292385158685	1.87325824590588	1.31066901785091	1.35646698346793	1.34698624339501	1.34738809122724	0.0953219836730875	1.43129865069225	0.237811243940824	0.0305165235935192	1.38564880507759	1.41618504404622	1.35093149588851	1.39759095391911	1.37744793795005	1.3812694532862	1.31989026624398	-1.15511202317437	1.38309053334454	1.34654681991302	1.32574266990727	0.485342361001196	1.40198620793459	1.41848079656547	0.313814793294959	1.43061296296932	-0.589311909923914	-0.0284328772693197	1.35864393108395	-0.479010789342251	1.40853096580842	-1.15532857916955	0.221751637828166	1.4340567210727	1.40648419084302	-0.945472383311388	-1.02414614788527	1.33242628222567	-1.10276323313282	-0.115319997266667	-0.929720673482027	-0.902601896947169	-0.154426016594522	1.31489574018432	-0.228756953857549	-1.14947403710009	-0.438687208230111	0.19161254175842	-0.915381674828682	-0.165327454325047	0.185814223964746	-0.372188447024172	-1.22842702257425	-0.501857695840253	-0.823063551268583	-0.843624840599508	-1.00275104967153	-0.587380736431684	-0.994410510627349	-0.126657744646781	0.328535502211501	-1.29622764069378	0.410972567115032	1.44119259927683	-0.808386859554841	-0.841644357428769	-0.394118599030054	-1.35747823909776	0.0764129472719405	-1.18735429390002	-0.994282386976907	-1.26367774518267	-0.735096756604119	-1.02628734495555	-0.907827499238441	-0.88173572522801	0.21146181804879	-0.977061973442424	-0.79723786329162	1.34952041276896	1.43263755369672	0.320597380583871	-0.363849698381958	-1.31766662499012	1.37668812172852	-1.09695108548651	-0.332588748061358	-1.35106213237671	0.434322117214399	-0.690959115982952	1.32875715714694	-0.60188530116114	-0.878374723388466	1.32860109361295	0.423445401141748	0.269298719392586	-0.288777123046255	-1.13788094354822	0.0960085726225705	0.258079465261758	0.319904211854207	-0.70212950905753	0.520920953930191	-1.30466452488881	0.114105267375712	1.35293354641516	-0.137648260046459	-0.0397828943295253	-0.572550958999142	-0.958439207435408	-0.795748455230163	-0.247465881165035	-1.04918210023889	-0.237606541387572	-0.444741900898335	-0.525915921630191	-0.135782414540954	1.3272244414086	-0.0311599156077133	-1.14404928934986	-1.39467008200206	-0.0409457613315117	-0.766174893597155	-0.253384579302767	-0.907695932377261	0.123828294034375	-1.12219859111779	-0.96455585760092	1.33482769786047	-0.61699778490527	-0.0530498285042942	-0.607860095752336	-0.0353320239121812	-0.95840606091879
"PDGFA"	1.09327625060069	1.38015451935693	1.2261685109538	1.25867888322077	1.27509150409566	1.54390590659351	-0.0188945262203967	1.18826902360008	1.10289442654008	0.336605938715426	1.22505997069529	1.29082465997372	0.654146970602894	1.09456171064674	1.0918449101269	1.28756477499676	1.15174734516589	-0.162352963969714	1.17153369440565	1.13184399620546	0.822302795092865	1.15682692876318	1.08667562121664	1.24201045329763	0.573602458596078	-0.67190439157144	1.20167195114958	1.11854981109852	-0.878629280874965	1.16257997500488	0.282906056680909	0.121154988726641	-0.0457022999299081	1.10976465227069	1.21632115281803	1.30943583130945	1.38939753681145	1.45244751708867	0.472008020131696	0.344566325675092	1.17111602303796	1.23902372455161	1.08458164535117	0.889814164042871	-0.361041006188923	-1.26961656576089	1.08505006897151	1.1248970190558	-0.171051204357918	1.11770981306753	0.779938677894386	1.20959891019649	1.15505787111348	0.795685305341039	-0.520047542613987	0.450186316071299	0.435840755197177	-0.236020326742247	1.0911779808155	-0.810191206991829	0.611895598228313	0.245080311028783	-1.42240976741715	0.145508461764256	0.399826699162921	-1.60779062674259	0.489342163355443	1.3789859062509	-0.311843460285927	0.637220214179547	1.18525407295978	-1.42994330250349	1.09554124320602	-1.0284622878612	0.0069395681884143	-0.124137331698017	0.612465229455018	-1.03673150996443	-0.00655736731259974	1.24981520643818	0.84294710420841	-1.24261905530879	-1.06353097040694	-0.968893856586287	0.541084297942093	-1.33786495893903	-0.122836112275816	-0.984172732637996	-1.50795216868577	0.810768035312891	1.06056633624177	0.0740823638011933	-0.646386868489467	-1.09177061871412	0.540940396192239	-0.677340632053478	-0.634017266410839	0.0812274094165016	0.0197060073251121	0.147700937583505	-0.514082309234505	-0.255824881120327	-0.262889209301415	-1.29638914225273	-0.29161572373188	-0.372347979241439	0.208192970941535	-0.449127127635633	0.475892078194068	1.15290261340906	-0.179470833153245	0.809388627927056	-0.806720452702342	-1.08398262141163	-0.99768341083599	-0.298313875246654	-1.2457167240858	0.0350983652338907	-1.10662080632201	-0.250003869107929	-0.930818972810146	-0.0781143776031899	-0.969308917147669	-0.764638347559889	-0.665287377879614	1.14211310560921	-0.812939270895672	-0.629161772362552	-0.801488142983075	0.182525477317325	0.253182919274147	-1.07533485292079	0.233097348408453	0.31872994091639	-0.00832403755309535	-1.1286431194171	-0.0395268080715286	-0.497474710661113
"GNG11"	1.25583613791703	1.38609339069176	1.27093541846238	1.24563420339079	1.20155147590392	1.58853838607575	1.16482181467137	1.26104955637286	1.28637348960194	1.18480277565484	1.18147713465712	1.36717350786148	1.20097995235198	0.141246770350841	1.18885223294116	1.26175583788834	0.209997118021306	-1.30269691886116	1.32363317775881	1.32386354672105	1.13847614490699	-0.0734656273549298	1.23534767864332	1.16789064239843	1.18183888321469	0.135345105282927	1.23515196372186	1.19450142952185	0.300200423336549	1.2288347050488	0.0623710966169465	0.0855756656186498	0.635492031537643	0.213330909381529	1.1837520058651	-0.117127473072488	1.34227132403438	0.550607242471059	1.20553511760761	1.13527908324414	-0.373506675686718	0.398855093894505	-0.457544454137571	1.22801236926418	-0.848568360058415	0.523854800420316	1.18962089081747	1.16349734643684	1.15988905040959	-1.34030590809189	1.17377034042065	1.15952647463536	1.17460818380581	0.753460351812734	0.259218646285131	-1.01520450172299	-1.17364358639413	0.279753012867919	0.708600592747765	-0.988009489294997	-0.41018276315906	0.137568582773914	-1.10574304148169	1.16056455117461	0.311345839449335	-1.47621248766534	0.454803699490842	1.27433070963109	0.582374745958449	-0.703034481366119	-1.1731645825263	-1.01468564865647	-0.245777055192172	-0.983023126050601	-0.624432066611635	-0.146526537626186	1.15035901011275	0.695839114319547	0.22878866405334	0.518243794476065	0.372425094252649	-0.0414065199163921	-0.912243040427976	0.4091317983298	1.17001132463167	-0.215540684439755	-0.137386486985455	-0.387149239826035	0.777964623363093	1.19593763496706	-0.291233239376513	1.12995855850899	0.285325065339937	0.074119054823845	-1.31989357169115	-0.355753718712136	0.0787054244511407	0.533765786095805	0.0164761968256499	-0.464815636010779	0.651292267915993	1.15503962581188	-0.571968317235998	-0.612937772103877	0.243040327136311	-0.309644649580057	0.477334990064728	-0.502320258611795	0.0332629967791831	0.284999298920969	-0.774483702601547	0.482285423091443	-1.05895083974787	0.422008406058185	-1.05350668369083	-0.213729907212878	-1.06426494089669	0.324034042510297	-0.995123103325769	-0.498162712043395	-1.1045274090061	-0.512162429950853	-0.0174286597357107	-0.206832879378596	-0.936007478793945	0.0926241206561539	-0.799458832715635	-0.886627958212514	-1.27869247323985	0.757993938742233	-0.702103877808605	-1.25705355002818	0.0563691862560032	-1.24067403291829	0.376170105826598	-0.960809779402002	-0.0794307531886814	-0.532747833929303
"RELL1"	0.96113666550409	1.29464133798456	1.47826190447653	1.52192113028077	1.35246708040551	-1.05530005260529	1.5149689987752	1.09185307113989	1.55549544740252	0.361190922224435	0.861055713980699	1.58916091297142	0.43875101944329	1.03311551035592	1.66099633754255	1.18953008256594	1.56761027094338	1.39655990513951	-0.751712063281278	1.47155081066513	0.542067128523503	1.37526983788094	0.659819701315466	-1.01209951303291	0.949163734215842	-0.863463332579053	0.58571780706042	1.52801420034118	0.778238857847344	1.64783525631545	0.557735458662209	-0.597217282193029	0.599194257641073	0.345979212558413	1.24163438085611	0.994016273548696	1.61374403323995	1.56797754112527	0.147371674694399	0.891770719988482	0.378054114598051	0.995280305232461	0.944201364306132	0.926108647927348	-0.676108022185329	-0.875666409745154	-0.928307684805118	1.47497784176281	1.009054547171	1.42343077678174	-0.601234097014931	0.730095783128863	1.10422931063191	0.282345954783147	-0.631710612430671	-0.666721045781935	-0.352078790518599	-0.455883071642933	0.269401541012202	0.895131213979974	-0.528192305823157	0.8748586418322	0.531718503128194	-0.571520925525581	0.470025964576316	1.57006054682125	0.919444229809093	1.36560073672665	0.458568804077693	1.09594526421391	-0.604185437077423	-1.2970199346545	0.654901725116266	-0.601164547055934	0.670994317874695	-0.562088978268321	-0.944760223799492	-0.488912990714968	0.419272497222246	1.3317770582234	0.758340206856605	-1.29577532165665	-0.234824101187598	-0.798859926524373	0.501901147442018	-0.646158572778724	-0.613441537077412	-1.08165656793874	-0.822326591190028	-0.705137691795009	0.761095806215362	1.53108682586725	-0.816162162165878	1.21253838134356	1.18510600452113	-0.733110174942107	1.11501838398385	-0.946594672423559	-0.592844041995487	-0.383664051433302	-0.881474559585251	1.49456321830976	-1.16028374919132	-0.306744689834119	0.969923823076527	-0.00732655306279206	0.112587140530747	0.718331278911811	-0.633054112212573	1.26476964877221	-0.0130687561922946	1.00392138688762	-0.798707296472523	0.584312785880078	-1.15762583309012	0.912839115370891	-0.588054104689503	0.0670232619782516	-0.116476139472131	-0.491791129228866	0.482254273577659	0.506324828232246	-0.806258196070628	0.0676036830066608	0.472174499272123	-0.960158364439583	0.351380285558719	-0.72746380807591	-0.67937961008013	-1.0985363923118	0.754942745951848	-0.901507607802029	1.20857485158018	-0.532018616683437	0.207606262943525	-0.81682537103715	0.646644745479623	-0.69742958450663
"TAX1BP3"	0.631105568305813	1.09035952905471	-0.304254081646157	1.33903099433954	1.16824730559354	1.52172100870157	0.619892757074629	1.25389402123243	1.139395681386	0.286921883477553	1.17915482642677	0.272438609226915	1.15439723928177	0.713886922799995	0.5444070289938	1.12964945001432	1.35742934404536	-0.53566057736333	1.26710320655329	1.11738521511454	1.17814817899067	1.15180237068221	1.1110758105777	1.02534645758043	0.430274189933873	-1.2023160160576	1.22031208056124	1.11870297348446	0.333779445318242	1.10396352583032	1.13028957459261	0.322638259733693	0.338153332080159	1.33561646318474	1.32505326512758	1.25455545766234	1.28603823496445	1.28712187545095	1.2333820407943	1.136125479529	1.18015595514912	1.1209732376033	-0.367513370633508	1.20452750313783	-0.70978830912418	-0.397939034925409	0.193495560157753	1.19934355205054	1.09115538205989	0.151143526573862	1.16528942231694	1.15698351513632	1.12611643737106	1.17364271379922	1.10595338872893	-0.588170337474088	0.381163841041925	0.0902892595226747	0.707594335653244	-0.355514141914089	0.431470840195338	0.106590712638522	0.667966750941681	1.13249269786511	-0.742738236611298	1.13254416465383	1.15283942626706	1.08892883508202	0.291277929834251	0.442182766114198	-0.95087762548577	-1.43135406135661	-1.16353416315015	1.15516027718302	0.386980394193539	-0.498569014821632	1.10373029100102	0.621597910860167	0.574691617328692	1.20353017993578	0.235952947323998	-1.26935289830029	-1.35873995464852	0.281043295283027	0.794303688219802	-0.370994288857887	-0.246714012888158	0.183951628294466	1.08052543911757	-1.4955498587041	-0.322068618044939	0.645239457487023	-0.327778699594375	-0.623648167636282	-0.858747252962179	0.217545328247618	0.085967447688329	0.736566028297534	-0.762769814238537	0.421540848828639	-0.679848116662179	0.529976255896915	-0.600465341858329	-1.06730501258898	0.495402535653535	0.565363000760176	-0.208293833888982	1.1291347259222	1.13986042348481	0.462153500185756	0.187719249612401	-0.0504539146030556	-0.935427439047188	-0.342381991669906	-1.06744250350268	-0.854540754725866	-1.2769556232033	0.483273462962786	-1.18661717289785	0.190627748774059	-0.923775422024123	-1.06880793834693	-0.0703468377163374	-0.17792363736419	-0.56296238646379	-0.200109011820479	-0.688566240025458	-1.20964848408647	0.358333346166332	-0.216118289261223	-0.481382378756092	-1.41387829405965	0.332548744894095	-0.853884939246213	-1.49654848014336	-0.521026227381912	0.740206243069514	0.328935407590473
"PTPN12"	1.13596132991959	0.583783645136332	1.05423991192104	1.1238742559642	1.08382031764545	1.69811077853868	0.116375370914379	1.12496447142469	1.03220556101713	1.16495490672607	1.39048915573229	1.12596992368707	0.94235923349791	1.3111437841808	1.06295936851718	0.626140919297492	1.20797566896725	0.343890263860926	1.18579507971491	0.515735847916929	1.07501899759136	1.40364516379284	0.653022537902774	0.973402418043496	-0.17546331453979	-0.073475389732673	1.031660529757	1.5617401994992	1.03401640720971	0.870560440685074	1.16689308344729	0.301063333900788	-0.0346283432207294	-0.0924944204920182	0.42444868730477	1.26509633482423	-0.263532416472811	1.12087091047153	1.09772734526221	-2.04944941043646	-1.21173069876121	0.425359464769901	0.00728916970035088	0.68207539379577	-0.834050596782128	-0.790795553591401	0.203225563181344	0.648697005006665	0.439529743348087	-0.269977804069475	1.50649031375919	1.10347729459937	1.07160846188011	0.099316256925046	0.0961826410819017	0.646019164384806	1.27528829631577	-0.71157861543354	0.0201071882405145	-1.00597146402233	0.221216534453807	0.648561979838836	0.430850940416109	-1.02498036193559	-0.39917564030985	-1.27601991955147	-0.6108069945903	0.511534557271718	-0.873121832349344	-0.0679204027242392	-0.559086836627404	-0.9070672999786	-0.81469619428473	-1.95457815082319	0.522108469127522	-0.490812309254986	-1.04734151054239	-0.604407171769559	-0.144198692630053	-2.20505407812058	-0.880735520297694	-0.0435980928400417	-0.68598830619327	-0.0779989433991278	0.160680962741334	-0.902296560244178	0.656848707375078	1.06570194508731	1.12338123022336	-1.19983632670726	0.260447678926629	-0.00665502121696989	-1.33548728516145	-0.718269035948949	-0.790572353287697	-0.800748218366577	0.22846664971024	0.254352127562344	-0.367886276318083	0.233137217167718	-0.682001652075845	1.01690966704485	-0.846311355549825	-0.203666708208917	0.174882529011919	0.00757579367717432	0.104068893160256	1.08675225792805	0.187368538525249	0.0588258037616183	0.143099986471216	0.139035221537126	-0.57382832830183	-1.11348601173996	-0.724394111162398	-1.13616697575708	-2.23805945773191	0.194993095520176	-1.56978679505132	-0.698518116907647	0.481483753953553	-0.914853776234621	-0.442392633430884	0.953196321441932	1.39291232525055	1.05899734833321	0.262092494836029	-1.03873487277504	-0.149586465493263	0.0961321278056943	0.475333873398607	-2.09621005464934	-1.01695714707014	-2.07705983819465	-1.12262156810838	-0.917397242943194	-0.837065867153686	-0.756902724501957
