"Gene"	"IS01"	"IS02"	"State"	"MaxFC"	"InitialState"
"PEAK1"	"PEAK1"	-1.05188277863492	1.05188277863492	"S02"	1.05188277863492	"IS02"
"H1F0"	"H1F0"	-1.04890695969814	1.04890695969814	"S02"	1.04890695969814	"IS02"
"MEIS1"	"MEIS1"	-1.04086305449746	1.04086305449746	"S02"	1.04086305449746	"IS02"
"LRIG3"	"LRIG3"	-1.03920151611442	1.03920151611442	"S02"	1.03920151611442	"IS02"
"FAM13C"	"FAM13C"	-1.03893085489649	1.03893085489649	"S02"	1.03893085489649	"IS02"
"RILPL1"	"RILPL1"	-1.03810660425804	1.03810660425804	"S02"	1.03810660425804	"IS02"
"SLC25A27"	"SLC25A27"	-1.03598071440062	1.03598071440062	"S02"	1.03598071440062	"IS02"
"SMARCD3"	"SMARCD3"	-1.02644758375205	1.02644758375205	"S02"	1.02644758375205	"IS02"
"CAV1"	"CAV1"	-1.02561021630527	1.02561021630527	"S02"	1.02561021630527	"IS02"
"PROCR"	"PROCR"	-1.02394212724627	1.02394212724627	"S02"	1.02394212724627	"IS02"
"NR2F2"	"NR2F2"	-1.02088693753937	1.02088693753937	"S02"	1.02088693753937	"IS02"
"OSBPL5"	"OSBPL5"	-1.01675264143128	1.01675264143128	"S02"	1.01675264143128	"IS02"
"CD34"	"CD34"	-1.01354462025312	1.01354462025312	"S02"	1.01354462025312	"IS02"
"RBMS3"	"RBMS3"	-1.0116591209879	1.0116591209879	"S02"	1.0116591209879	"IS02"
"SPRY4"	"SPRY4"	-1.0072820488305	1.0072820488305	"S02"	1.0072820488305	"IS02"
"DOCK6"	"DOCK6"	-0.992560306575378	0.992560306575378	"S02"	0.992560306575378	"IS02"
"INSR"	"INSR"	-0.990191828988187	0.990191828988187	"S02"	0.990191828988187	"IS02"
"ATOH8"	"ATOH8"	-0.983957746166567	0.983957746166567	"S02"	0.983957746166567	"IS02"
"PCDHGA5"	"PCDHGA5"	-0.983947626924013	0.983947626924013	"S02"	0.983947626924013	"IS02"
"TIE1"	"TIE1"	-0.979910091118964	0.979910091118964	"S02"	0.979910091118964	"IS02"
"RBMS2"	"RBMS2"	-0.976121701683655	0.976121701683655	"S02"	0.976121701683655	"IS02"
"PCDHGC5"	"PCDHGC5"	-0.973688815382357	0.973688815382357	"S02"	0.973688815382357	"IS02"
"GNA11"	"GNA11"	-0.967052093113991	0.967052093113991	"S02"	0.967052093113991	"IS02"
"DUSP1"	"DUSP1"	-0.961883126795679	0.961883126795679	"S02"	0.961883126795679	"IS02"
"AHNAK"	"AHNAK"	-0.94960245781111	0.94960245781111	"S02"	0.94960245781111	"IS02"
"SHE"	"SHE"	-0.94760511237004	0.94760511237004	"S02"	0.94760511237004	"IS02"
"CXCL12"	"CXCL12"	-0.94720705642987	0.94720705642987	"S02"	0.94720705642987	"IS02"
"NCAM2"	"NCAM2"	-0.944076548839316	0.944076548839316	"S02"	0.944076548839316	"IS02"
"IFT172"	"IFT172"	-0.943243042489947	0.943243042489947	"S02"	0.943243042489947	"IS02"
"HLX"	"HLX"	-0.941554337788695	0.941554337788695	"S02"	0.941554337788695	"IS02"
"RARG"	"RARG"	-0.936346374743701	0.936346374743701	"S02"	0.936346374743701	"IS02"
"RASSF9"	"RASSF9"	-0.935734494580851	0.935734494580851	"S02"	0.935734494580851	"IS02"
"ARHGAP44"	"ARHGAP44"	-0.920573873742993	0.920573873742993	"S02"	0.920573873742993	"IS02"
"KIAA1549"	"KIAA1549"	-0.920157884397313	0.920157884397313	"S02"	0.920157884397313	"IS02"
"HGSNAT"	"HGSNAT"	-0.915007122872131	0.915007122872131	"S02"	0.915007122872131	"IS02"
"DYNC1I1"	"DYNC1I1"	-0.905232821577865	0.905232821577865	"S02"	0.905232821577865	"IS02"
"GSN"	"GSN"	-0.903852408394152	0.903852408394152	"S02"	0.903852408394152	"IS02"
"C9orf3"	"C9orf3"	-0.893204906386336	0.893204906386336	"S02"	0.893204906386336	"IS02"
"GABBR1"	"GABBR1"	-0.892553063793806	0.892553063793806	"S02"	0.892553063793806	"IS02"
"MCC"	"MCC"	-0.890230426959387	0.890230426959387	"S02"	0.890230426959387	"IS02"
"CCDC85A"	"CCDC85A"	-0.884735203138727	0.884735203138727	"S02"	0.884735203138727	"IS02"
"QPRT"	"QPRT"	-0.884175535870999	0.884175535870999	"S02"	0.884175535870999	"IS02"
"RPH3AL"	"RPH3AL"	-0.87697833064459	0.87697833064459	"S02"	0.87697833064459	"IS02"
"FGFR1"	"FGFR1"	-0.871606441870129	0.871606441870129	"S02"	0.871606441870129	"IS02"
"SCN9A"	"SCN9A"	-0.870170445061194	0.870170445061194	"S02"	0.870170445061194	"IS02"
"IRS1"	"IRS1"	-0.866179807764782	0.866179807764782	"S02"	0.866179807764782	"IS02"
"ABO"	"ABO"	-0.864487686336462	0.864487686336462	"S02"	0.864487686336462	"IS02"
"PLEKHH3"	"PLEKHH3"	-0.847933437584811	0.847933437584811	"S02"	0.847933437584811	"IS02"
"FLNB"	"FLNB"	-0.834839054560143	0.834839054560143	"S02"	0.834839054560143	"IS02"
"CD99"	"CD99"	-0.834474112250239	0.834474112250239	"S02"	0.834474112250239	"IS02"
"CLDN7"	"CLDN7"	-0.827987010019331	0.827987010019331	"S02"	0.827987010019331	"IS02"
"STON2"	"STON2"	-0.825774819569994	0.825774819569994	"S02"	0.825774819569994	"IS02"
"IMPA2"	"IMPA2"	-0.821260144175385	0.821260144175385	"S02"	0.821260144175385	"IS02"
"MATN2"	"MATN2"	-0.817999940046315	0.817999940046315	"S02"	0.817999940046315	"IS02"
"WSCD1"	"WSCD1"	-0.816752043157326	0.816752043157326	"S02"	0.816752043157326	"IS02"
"PLCD4"	"PLCD4"	-0.815179790380952	0.815179790380952	"S02"	0.815179790380952	"IS02"
