"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"	"InitialState"
"RPL21"	"RPL21"	0.906303244629014	-0.118972737417695	-1.01322980840449	"S01"	0.906303244629014	"IS01"
"RPL24"	"RPL24"	0.90475935511242	-0.100968454327018	-1.02818961143413	"S01"	0.90475935511242	"IS01"
"OLFM1"	"OLFM1"	0.903692436252989	-0.078866911910569	-1.04758179832828	"S01"	0.903692436252989	"IS01"
"CEP95"	"CEP95"	0.900269109087034	-0.877917000715911	-0.294366184281416	"S01"	0.900269109087034	"IS01"
"SNRNP40"	"SNRNP40"	0.90017453889656	-0.727421565925156	-0.435311492746339	"S01"	0.90017453889656	"IS01"
"RPL11"	"RPL11"	0.897841787285242	-0.49748429987828	-0.647941731856118	"S01"	0.897841787285242	"IS01"
"YLPM1"	"YLPM1"	0.897582211102393	-1.2630075689214	0.0699221624471167	"S01"	0.897582211102393	"IS01"
"KIAA1551"	"KIAA1551"	0.897063727203215	-1.39902985738336	0.198062289200587	"S01"	0.897063727203215	"IS01"
"MYEF2"	"MYEF2"	0.891946464596866	-1.04253042922274	-0.12974179135075	"S01"	0.891946464596866	"IS01"
"RPL35A"	"RPL35A"	0.891375229382272	-0.225217168289715	-0.895118522939036	"S01"	0.891375229382272	"IS01"
"MAN1A2"	"MAN1A2"	0.889164849197291	-0.91507752162674	-0.245754141581602	"S01"	0.889164849197291	"IS01"
"ZNF585B"	"ZNF585B"	0.883677296421901	-0.592185728834238	-0.541597508646484	"S01"	0.883677296421901	"IS01"
"FAM227B"	"FAM227B"	0.883285307703775	-0.00938515983941415	-1.08738279899885	"S01"	0.883285307703775	"IS01"
"CWF19L1"	"CWF19L1"	0.881925971483144	-0.629182593469232	-0.504746096657208	"S01"	0.881925971483144	"IS01"
"RAP1GDS1"	"RAP1GDS1"	0.881155935568311	-1.05299117433124	-0.106545382275147	"S01"	0.881155935568311	"IS01"
"WDR33"	"WDR33"	0.880936859429964	-1.06043487586948	-0.099296358423456	"S01"	0.880936859429964	"IS01"
"BCL2"	"BCL2"	0.879083642552394	-1.47933263263895	0.295645588154961	"S01"	0.879083642552394	"IS01"
"BIRC6"	"BIRC6"	0.877489612168691	-1.28382284185371	0.11436820486948	"S01"	0.877489612168691	"IS01"
"TESPA1"	"TESPA1"	0.876126853550702	-0.990364266379418	-0.159005737230362	"S01"	0.876126853550702	"IS01"
