"cHL07"	"cHL101"	"cHL102"	"cHL103"	"cHL104"	"cHL107"	"cHL108"	"cHL109"	"cHL110"	"cHL111"	"cHL113"	"cHL114"	"cHL116"	"cHL117"	"cHL118"	"cHL120"	"cHL121"	"cHL122"	"cHL123"	"cHL19"	"cHL21"	"cHL22"	"cHL32"	"cHL33"	"cHL49"	"cHL60"	"cHL63"	"cHL68"	"cHL74"	"cHL89"	"cHL93"	"cHL96"	"cHL99"	"HL021"	"HL356"	"HL360"	"HL370"	"HL382"	"HL387"	"HL419"	"cHL124"	"cHL04"	"cHL05"	"cHL06"	"cHL11"	"cHL14"	"cHL17"	"cHL35"	"cHL36"	"cHL39"	"cHL41"	"cHL42"	"cHL46"	"cHL52"	"cHL53"	"cHL54"	"cHL55"	"cHL56"	"cHL57"	"cHL62"	"cHL69"	"cHL72"	"cHL73"	"HL002"	"HL006"	"HL010"	"HL031"	"HL032"	"HL150"	"HL359"	"HL363"	"HL376"	"HL383"	"cHL136"	"cHL138"
"TAS2R30"	-0.255401720879204	1.08712187440825	1.09258801816393	1.03142078063745	1.58107448123356	1.46316341304859	1.06556166942267	1.0000380286376	0.838379919454303	1.22977721381565	1.08479233321418	1.16565972259939	1.23427053734299	1.26778415389783	0.771814599805335	0.669814580330595	1.01247978958113	1.13401583824529	1.98912851722474	1.04782336634987	1.2720962725661	0.794991358296304	0.875025543675775	0.629090226747217	1.27211457863352	0.941787299222607	1.34684499186588	0.34309089171432	1.06914563485634	0.554674224885326	1.06341745306596	-1.43322646144938	-0.92385423834264	1.27156114737897	1.50101447584987	1.64475995125888	1.25890854955505	0.998835335729394	1.11311796879415	0.696645181411082	1.22584315018999	0.651147657260248	0.896600281459286	0.67970541557959	-0.740670089875888	0.50565100405006	-0.148951416229682	-1.20308274456943	0.403071649325178	1.01339865754937	-0.288652477159309	1.16855991909137	-0.876648567804519	-0.723033289828509	0.880715673680548	0.334393968372457	1.41833546367135	0.797816379867625	-1.08828443487121	0.134380336448736	-0.383644554172296	1.20742471716226	0.645665777685624	0.695068461586557	-1.05245424883064	-0.203020256455414	0.69779992942553	-0.734642494475257	-0.325375593240585	0.327748504933718	0.924923683339769	0.797603474953996	-1.13582587284386	0.440345205658646	0.942390792605013
"VCPIP1"	-0.0836215655569208	1.46924623720774	1.13163630305093	1.49882081088992	1.27146278086624	1.79578012480131	1.18117844730895	1.15100233033139	1.76902837130746	1.45965845685342	1.32247410453097	1.64471415083454	1.75941582836979	1.61963550447432	1.58540116816756	1.39890589871946	1.29869517614959	1.41899921818207	1.21600594118389	0.38510872184988	-0.942505364279482	0.215307076179683	0.417628840278494	-0.403629379255366	-0.0990565048162562	1.3732560053403	-0.202532644812037	0.00676678180807617	1.1611549612232	0.969626410673511	-0.4069656127043	1.59173001987623	1.27293986207116	0.23433273017912	1.1006836537063	1.05464115024097	0.692288662639753	0.605855095811236	1.2794616091455	0.462438383029215	1.07256284163741	0.0434086674799571	-1.01003035316832	-1.25166940630534	-1.05112312718969	1.01099062173528	-0.866790948883201	-1.14724332637167	-1.17179827218342	-0.0221358078260364	-0.0927915708487972	-0.0906913339704017	-1.57610179350591	-0.885084818058296	0.53414245972849	0.158727050260147	0.512776845679381	-0.378211898976345	-0.408125252613722	-0.733414218688892	-0.212562078261597	-0.882112796344544	-1.21745726667826	-1.15656837874322	-1.5772718128587	-0.860301288478027	-0.205426089353581	-0.624956025805939	-1.04076182905707	-1.4446130623234	1.68112473622849	0.198612607559123	0.480602155585325	-0.407744435698759	0.320596419674579
"ZNF131"	0.406583370138492	1.22654152355096	1.05728603722616	1.31632741355256	0.975320159320536	0.916183784312418	1.15781288002181	1.22138044114264	0.693710297835278	0.91800898567893	0.251979220415057	0.853287038313347	1.20691916707124	1.241923575084	1.25169306179089	1.30740884750724	1.40885653005136	1.0843953035331	0.815144643186315	0.863601201186187	0.0514248609051448	1.27035303862921	1.1084013664181	-0.0094669696854572	-0.592177588298562	1.54509405673197	0.0541470423542964	0.92432696916442	1.34624703882433	1.40065199599586	0.922267916353884	1.45254080348423	1.96127925291828	1.4104427915371	1.32078730572557	1.18599237542229	0.0544487274181555	0.998044698560195	0.127977660947033	-0.349143030430673	1.14933977284483	0.58741415054988	1.34976831703517	-0.777730524898985	-0.0519283689504105	-0.266725631912668	-1.33313271709468	-0.286387433880333	-0.0215548696882578	1.06131396654258	0.399635993382441	1.49067669065953	-1.28037227722886	-1.25859117577995	-0.013718319449007	0.139315357927289	-0.0245693567132818	-0.13693999143152	0.101951321434013	-0.279126657378252	0.397317010426579	-0.347568765110643	1.05220193345001	0.27985133333737	-0.362981627624311	0.256540795297099	-0.572140537694463	-1.34248429200524	-0.185668152863437	-0.448479720755319	0.178172764075339	1.47474659410715	0.53821223044603	-0.638756069047731	0.841659822144809
"ZNF586"	0.192203463804765	1.29339643529039	1.31157972117777	1.15951207035671	1.16672767051533	1.36382956237321	1.61414694177353	0.644327969466081	-0.414669383810278	0.417946193956987	1.2409778675844	0.392263612648623	1.36860054566279	1.317776094212	1.63827052005714	-0.981396755377742	1.34639386179392	0.634514052782141	1.287108541912	1.282461939098	0.141292507805249	1.2785915889714	1.24838881134925	1.0844807555597	1.43049099315907	1.30923009755997	1.28918835259821	0.160172905762514	1.47653276930176	-0.0979404372289871	1.68777892696921	1.69992892875339	1.47959700251443	0.417513331160214	-0.901018523583547	1.44161230768589	-0.0412115118356981	1.47984563039078	-0.489743569294612	1.09108827685355	1.0990762721904	-0.617938511076391	0.266716512321499	-1.17097480533223	0.822071893904075	0.093564683813368	0.117336771061184	-0.69872252033251	-1.07520428456582	-0.471243743925164	-1.18919834408614	0.159231127330965	-1.08224654217516	-0.98269852465538	-0.685047550761972	1.41027769094248	1.24517058392781	-0.756618838991407	-1.26465335862597	-0.788413383194094	0.597011724716177	-0.956720729112491	-1.03300746894681	-0.345867043980116	0.235869829493025	0.0621409289871559	-0.125267907375716	-0.761871341930942	-0.716349647638733	0.250663047899544	1.32241269377391	0.139271697516662	0.216261085281645	0.190617473814357	-0.507957272054314
"ZNF75A"	-0.132421419469899	1.33510302695303	-1.04043676521152	-0.114236850924998	1.56107761329095	-1.33377669509896	1.61425500796156	1.45970455977212	1.31023948166581	1.51909455693014	1.93981495750559	0.992980888976913	1.08057927317661	1.52600751436001	1.40011235638147	-1.13831345888801	-1.3123680613227	1.29109641620353	1.67466101417313	1.60265191047271	1.05926840224145	1.44971102558889	1.33563035994002	-0.578367697932078	1.53751253308701	0.372564701817624	1.2492826355325	-1.01715461838026	1.40692880985871	0.995979008117581	-0.787719271066628	2.06359102362972	2.38354010613295	-0.435565012761799	1.30944475428482	1.20317687619408	-0.223657436319845	1.5679432987249	1.86959050697972	1.56197082178903	1.18076046317304	-1.35600674265923	-1.29989338760624	-1.16910132377969	1.67716159858773	-0.292634751443068	0.00531569963528142	-1.07138461556352	-0.671632779547691	-0.924731235473932	-0.455972611603271	1.68047876905489	-0.0725909730864492	-0.0382790927867881	-0.61105176844875	-1.15415821709004	1.71342359126708	-0.699776090386899	-0.467365789176252	-0.780473980143798	-0.487898368021229	-0.415572056789004	-0.683714823875587	1.12231146213504	-0.547262747380372	1.11894403042653	-1.35438246579834	-0.52698826230327	-0.881684628225339	-0.731243730853467	-0.218467482041552	-0.998113322888313	1.15782069419548	0.896432727070325	-1.75718378566137
"ADSS"	0.710020924715755	1.51250835267202	1.766685838497	-0.816840657330526	0.190176204804473	1.11715295961359	0.451418818432588	1.16954874754159	1.51962499005368	1.54347920341924	1.40946958427492	0.0831706254599565	1.93608859990108	1.27967589957274	1.63229491184994	1.12833643777421	1.73497118702795	0.836872416762429	1.66308935949033	0.47844019627092	-1.11754602654732	0.73055676186837	1.22912336988501	-1.06476051880522	-0.366643141713134	-0.0497695268108463	-0.0464508097846142	-0.493016040366562	1.15184093210029	1.5445446270001	0.410015114223144	1.99992941566022	-1.10407989200683	0.427364155540045	0.509175661877019	1.82444873953395	1.37911431606484	1.46768623175779	1.31686609395874	0.930517832225956	1.62949954487214	0.254392321580427	-0.936779129301589	-0.583915269925044	0.837497878244586	1.21590586037731	0.194813252261505	-0.884963061294636	-1.27799013506301	-0.699986792740236	-0.141691145096887	0.526196311439173	-0.535057329750162	0.433879389368205	1.12382372480439	0.92161707709297	0.862587052911504	-0.447583990183582	-0.177722683957946	-0.817643372804474	0.907217290597044	0.633593846772627	-0.733813306754722	0.610497003378533	0.995241836065935	-0.593478679915579	0.521303336328838	-0.869347374915044	-0.608958506536664	1.43682826334278	-0.280407968518624	0.665631315714591	1.65110813131547	-0.4561374148462	-0.239146656790665
"YIPF4"	1.14144300229355	1.48556161931216	1.57061688464641	0.266910499873807	-0.475599062127788	1.21027427293723	1.31857114798952	-0.533725081214036	-1.20877641238148	1.05135713285182	1.20503280514963	1.37149436626465	1.07710430358791	1.38619576051136	1.44257324617698	1.26871106486346	1.37633302937027	1.40471091391963	1.37753401822008	1.23378745914394	-1.27399504829482	-0.130687400668229	-0.364785891082289	1.20693794004236	1.20485674164503	0.333544824016141	-0.648508708288847	1.10451278903365	1.27747633567595	-1.4111326410527	1.44237008743277	1.77391731062396	1.25644433637656	1.2129661640782	0.220420381759648	1.63106017124649	1.28904757864289	1.58152591616746	-0.150638263381879	1.18031101012934	1.34851224631925	0.321962113649125	1.21081216842792	-0.0719078136412727	1.02359503173811	-0.785620809103424	0.927466865732462	0.388462871706452	-0.944089692103686	-0.42857857732582	1.303994278036	1.30371209423987	0.385116927970376	-0.252550505715466	0.69131123957194	0.38307384179882	1.17445551647635	0.515363614491315	-0.673215322351964	0.809132866417844	0.438960182542586	0.351516353201184	-0.887763313556701	-0.518076946228077	0.343114575188584	-0.460314060124781	-0.751912803051728	-1.01995476296636	-0.256905742892125	-0.580912201664542	1.25117382360354	0.539035085094569	1.55325110629372	-0.63170502255934	0.322349972954633
"XKR6"	-0.298267916025657	-0.479263121261348	0.231425386411813	-0.80032711854803	-0.361870718343138	2.03815496402313	1.28756673920172	1.56236310539087	1.46066884682001	0.0236594749209028	-1.51033153682843	1.74220261647298	1.38018608471203	0.791802008048971	1.23613976516792	1.02547900863049	1.40514002588697	1.61756345436301	1.06357059789943	1.35953407895298	1.99072104430917	1.24728040366709	0.872410408969524	-0.802933406314213	-1.01327729841511	2.0029711718247	1.4948303826923	-0.658074359734697	1.89089307299244	1.76702702824581	-0.545513361343319	2.28283840085407	1.47973583551989	-1.32797282033859	1.48725849835651	-1.0404071802918	0.39798835111311	1.33648496897186	1.37446839891867	1.35571776542447	1.17377823176662	-0.931739111269235	-0.394183695577773	-0.758729540966229	1.457243889783	-0.932740245365778	-0.0161647843964201	-1.04069681099122	-0.932484843504776	-0.97844060740249	-0.836510474601278	1.22393353512466	-0.269310205685485	-0.273719380092425	1.72810704853303	0.159023804061583	1.34577504255325	-0.544331807500645	1.05255387763402	-0.945829077227978	-0.445842756041314	0.354784767386147	-0.980872412685508	-0.293427337529092	-0.318124807524846	-0.82893272406519	-0.929659816160414	-2.36588871135622	-0.162588156489066	-0.602544032875486	-0.807733082588701	-0.673632203963166	-0.256644916753159	-0.663437300966903	-0.465193431094609
"FUS"	-0.252935471459897	0.69754934129722	0.676545804120143	0.327139921933357	1.34848160604604	1.00420498959714	1.47472467057843	-0.337492598248346	1.35805749114803	1.471213245156	0.785626838133397	0.595615321414696	1.13155259744027	1.42148699734924	0.707155841116984	1.38366590373042	0.916550659846469	0.991826779614058	1.36748065667495	1.19079213056157	0.761597288437159	0.89493954234286	0.932387973777919	0.418675160640698	0.663401952021796	0.26393861378734	0.759089498385421	-0.843531981279717	0.858959853663899	-0.713998230738863	1.14995634247446	1.42342288894489	1.37760218042573	-0.228399482316489	-0.583930037767788	1.26334137582208	1.00391826607627	0.563477527338985	0.823525029664245	0.752221643949207	1.26341360979278	-0.775475008517389	-0.0284953006315125	-0.8158201294393	0.891624717736383	0.138999868586169	0.380975021168329	-0.45189237909476	0.718693766954875	0.817103638597799	-0.797332315004672	0.780669975490435	-1.67425747314674	0.60877805211342	-0.297955381504547	0.621026239774204	0.905516853917778	-0.773428908720511	-0.182997143337137	0.998879264886051	-0.0124888118363639	0.499952342073241	-1.04513256048001	-0.719341701338256	-1.74215791799757	-0.0548177431543678	-0.26116216273262	-1.25968952541847	-1.04128444081759	-0.696118147179245	0.864580692685112	-0.0907281592861236	1.58519164316878	-1.0476684311601	-1.34073810290374
"SMIM8"	-0.913879821113152	0.971264544951217	0.504435956595329	1.5537534637706	1.63970418343594	1.86179174973475	1.5500653633786	1.33479418479683	1.30859201032417	1.12276323111837	1.2243553308083	0.110204773155043	1.35557084006487	1.1020773829665	0.873854267556261	0.938841905168108	1.49320389267592	1.31664021805841	-0.954757773768766	0.731925155090393	0.639505227652121	-0.643467702359956	0.656285899150577	-0.846026796035455	-0.482022090005764	1.64005919126384	-1.3233103902036	1.17429336900379	1.30951051167908	1.9269007875775	1.54208037207831	-1.86514396093991	1.02926725217729	0.805831333473314	0.747854852858748	1.14002434123031	1.22132098748546	1.31412500163003	0.0610347437885309	1.01369275874476	0.245135035074712	0.744730547724978	0.124577115274172	-0.826244694101893	-0.870787969255466	1.12972818566802	0.22906584813209	0.603129686640805	0.29240091049913	1.21796338398666	0.316619000491034	0.263704761788996	-1.08464242350859	-1.5267340676482	-1.46647731357744	-0.104424640337516	-0.040669994654585	0.638616849508291	0.827609289491348	-0.988357460571048	-1.60959653612929	-1.21230535017135	-1.53420228633412	0.895875007076044	-0.319978719438184	-0.516985952931635	0.12812500525473	1.64581597853009	-0.855610501026665	-0.30826256770436	0.707658541483261	-0.650639040225526	1.05943792217015	1.14473843786811	-0.158401324535701
