"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"State"	"MaxFC"	"InitialState"
"HELZ2"	"HELZ2"	0.00589941457395909	-0.299079058361085	0.583452060143574	0.334766268117449	-0.651988944975734	"S01"	0.583452060143574	"IS03"
"CDC25B"	"CDC25B"	0.301015249638213	-0.211785676982215	0.581132152360883	-0.0309034988318654	-0.663970705985371	"S01"	0.581132152360883	"IS03"
"RIOK2"	"RIOK2"	-0.43826016893192	0.188569291717372	0.575710261407958	-0.638857852123855	0.177111651737637	"S01"	0.575710261407958	"IS03"
"CENPU"	"CENPU"	-0.445893865664912	0.418721144299537	0.573143773435054	-0.757631775145607	0.0260991690919482	"S01"	0.573143773435054	"IS03"
"UNC50"	"UNC50"	-0.0770470136226077	-0.0285752845541247	0.572926852424604	-0.56743043724197	0.029592280542598	"S01"	0.572926852424604	"IS03"
"ZFP69B"	"ZFP69B"	-0.15628147921707	0.160717520216351	0.570973430431102	-1.09546784368187	0.414881421868735	"S01"	0.570973430431102	"IS03"
"CEP83"	"CEP83"	-0.300471905541039	-0.0228428504714444	0.568880101761404	-0.576116979486639	0.249121973802622	"S01"	0.568880101761404	"IS03"
"C11orf80"	"C11orf80"	-0.616850327957879	0.0110881883143528	0.567491378415129	-0.369568808318124	0.299466892041873	"S01"	0.567491378415129	"IS03"
"ZNF572"	"ZNF572"	-0.665030603250989	-0.0441737069859987	0.567337841187321	0.0448580525244451	-0.0103628175724559	"S01"	0.567337841187321	"IS03"
"ANKZF1"	"ANKZF1"	-0.700859905221839	-0.108265413812467	0.567131796093915	0.514822357828742	-0.377859429239734	"S01"	0.567131796093915	"IS03"
"TPR"	"TPR"	-0.316138757459557	-0.036607913896507	0.567104192051601	0.0918507172765104	-0.400107401525152	"S01"	0.567104192051601	"IS03"
"INO80"	"INO80"	-0.349526440955035	0.0947536589248924	0.562997814934211	-0.34768605360959	-0.0754017394052784	"S01"	0.562997814934211	"IS03"
"TRIM5"	"TRIM5"	-0.347368193726644	0.0615993762305661	0.560692948347766	-0.580445637970089	0.203957906951554	"S01"	0.560692948347766	"IS03"
"PRPSAP2"	"PRPSAP2"	-0.504666528942529	0.113654185351756	0.560074729919945	-0.0482442807318532	-0.253566324615554	"S01"	0.560074729919945	"IS03"
"SYNCRIP"	"SYNCRIP"	-0.900283551592248	0.381416550102672	0.556581765774505	-0.415776400712851	0.174622580278288	"S01"	0.556581765774505	"IS03"
"COX18"	"COX18"	-0.402165045549446	0.0236257068947788	0.556105479373479	-0.737565274860508	0.46881396032216	"S01"	0.556105479373479	"IS03"
"ATG5"	"ATG5"	-0.459455515839839	-0.341715118076862	0.554506506648197	0.224571328032748	-0.00990704553125234	"S01"	0.554506506648197	"IS03"
"PIGF"	"PIGF"	-0.577352988198648	0.188742149374059	0.551805200373375	-0.666264777596941	0.365057895875771	"S01"	0.551805200373375	"IS03"
"TAS2R20"	"TAS2R20"	-0.683905207370118	0.437813400175357	0.546231513549589	-0.773657075050788	0.276942714455519	"S01"	0.546231513549589	"IS03"
